category,registry_name,source_file,factory,constructor_or_parameters,input_contract,output_contract,supported_modes,status
task,Default_task/Default_task,Default_task.py,task_factory,"(network,args_data,args_model,args_task,args_trainer,args_environment,metadata)","Default windows {'x','y'}",Lightning task outputs,single-task,DISCOVERED_UNVERIFIED
task,Default_task/ID_task,task/ID/ID_task.py,task_factory,same standard task args,"ID windows {'x','y','file_id',...}",Lightning task outputs,ID,DISCOVERED_UNVERIFIED
task,DG/classification,task/DG/classification.py,task_factory,same standard task args,"{'x','y','file_id',...}",classification logits/loss/metrics,DG,DISCOVERED_UNVERIFIED
task,CDDG/classification,task/CDDG/classification.py,task_factory,same standard task args,"{'x','y','file_id','domain_id',...}",classification logits/loss/metrics,CDDG,DISCOVERED_UNVERIFIED
task,pretrain/classification,task/pretrain/classification.py,task_factory,same standard task args,"{'x','y','file_id',...}",pretrain loss/metrics,pretrain,DISCOVERED_UNVERIFIED
task,pretrain/hse_contrastive,task/pretrain/hse_contrastive.py,task_factory,same standard task args,"{'x','y','file_id','domain_id',...}",contrastive/classification losses,pretrain,DISCOVERED_UNVERIFIED
task,pretrain/masked_reconstruction,task/pretrain/masked_reconstruction.py,task_factory,same standard task args,"{'x','mask','file_id',...}",reconstruction loss,pretrain,DISCOVERED_UNVERIFIED
task,pretrain/prediction,task/pretrain/prediction.py,task_factory,same standard task args,"{'x','y','file_id',...}",prediction loss,pretrain,DISCOVERED_UNVERIFIED
task,pretrain/classification_prediction,task/pretrain/classification_prediction.py,task_factory,same standard task args,"{'x','y','file_id',...}",joint loss/metrics,pretrain,DISCOVERED_UNVERIFIED
task,FS/prototypical_network,task/FS/prototypical_network.py,task_factory,same standard task args,few-shot episodes,prototype logits/loss,FS,DISCOVERED_UNVERIFIED
task,FS/matching_network,task/FS/matching_network.py,task_factory,same standard task args,few-shot episodes,matching logits/loss,FS,DISCOVERED_UNVERIFIED
task,FS/knn_feature,task/FS/knn_feature.py,task_factory,same standard task args,feature batches,kNN predictions/metrics,FS,DISCOVERED_UNVERIFIED
