id,category,path,description,pipeline,base_environment,base_data,base_model,base_task,base_trainer,status,protocol_status,owner_code,keyspace,minimal_run,common_overrides,outputs,related_docs
base_env_default,base_environment,configs/base/environment/base.yaml,通用 environment base（PROJECT_HOME + iterations）,,,,,,,/,,src/Pipeline_01_Fault_Diagnosis.py:pipeline,environment.*,python main.py --config configs/demo/01_cross_domain/cwru_dg.yaml,trainer.num_epochs=1;data.num_workers=0;environment.seed=0,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/environment/README.md
base_data_classification,base_data,configs/base/data/base_classification.yaml,单数据集分类 / DG data base,,,,,,,/,,src/data_factory/__init__.py:build_data,data.*,python main.py --config configs/demo/05_pretrain_fewshot/pretrain_hse_then_fewshot.yaml,data.num_workers=0;data.batch_size=16,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/data/README.md
base_data_cross_domain,base_data,configs/base/data/base_cross_domain.yaml,单数据集 cross-domain DG data base,,,,,,,/,,src/data_factory/__init__.py:build_data,data.*,python main.py --config configs/demo/01_cross_domain/cwru_dg.yaml,data.num_workers=0;data.batch_size=16,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/data/README.md
base_data_cross_system,base_data,configs/base/data/base_cross_system.yaml,多系统 CDDG data base,,,,,,,/,,src/data_factory/__init__.py:build_data,data.*,python main.py --config configs/demo/02_cross_system/multi_system_cddg.yaml,data.num_workers=0;data.batch_size=16,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/data/README.md
base_data_fewshot,base_data,configs/base/data/base_fewshot.yaml,单系统 few-shot data base,,,,,,,/,,src/data_factory/__init__.py:build_data,data.*,python main.py --config configs/demo/03_fewshot/cwru_protonet.yaml,data.num_workers=0;trainer.num_epochs=1,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/data/README.md
base_data_cross_system_fewshot,base_data,configs/base/data/base_cross_system_fewshot.yaml,跨系统 few-shot data base,,,,,,,/,,src/data_factory/__init__.py:build_data,data.*,python main.py --config configs/demo/04_cross_system_fewshot/gfs_dlinear.yaml,data.num_workers=0;trainer.num_epochs=1,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/data/README.md
base_model_isfm_hse,base_model,configs/base/model/backbone_dlinear.yaml,M_01_ISFM + E_01_HSE + B_04_Dlinear + H_01_Linear_cla,,,,,,,/,,src/model_factory/__init__.py:build_model,model.*,python main.py --config configs/demo/01_cross_domain/cwru_dg.yaml,trainer.num_epochs=1;model.embedding=E_01_HSE,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/model/README.md;src/model_factory/README.md
base_model_global_average_linear,base_model,configs/base/model/global_average_linear.yaml,Transparent temporal-mean linear classification baseline,,,,,,,/,,src/model_factory/__init__.py:build_model,model.*,python main.py --config configs/demo/00_smoke/dummy_global_average_linear.yaml,trainer.num_epochs=1;model.input_dim=2,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/base/model/README.md;src/model_factory/README.md
base_model_tspn_uxfd,base_model,configs/base/model/tspn_uxfd.yaml,TSPN_UXFD #61 core base; optional modules disabled by default,,,,,,,/,,src/model_factory/__init__.py:build_model,model.*;model.uxfd.*,python main.py --config configs/demo/uxfd/20_smoke_tspn_uxfd_full_cpu.yaml,trainer.device=cpu;trainer.gpus=1;data.num_workers=0,{environment.output_dir}/{experiment_name}/iter_{i}/,src/model_factory/X_model/UXFD/FACT_TABLE.md;src/model_factory/X_model/UXFD/OPERATOR_CATALOG.md
base_model_xoan_operator_path,base_model,configs/base/model/xoan_operator_path.yaml,P07 standalone typed executable operator-path software base,,,,,,,/,,src/model_factory/__init__.py:build_model,model.*;model.operator_path.*,python main.py --config configs/experiments/p07_xoan_operator_attention/g030_executable_operator_path_smoke.yaml,trainer.device=cpu;trainer.gpus=1;data.num_workers=0,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/experiments/p07_xoan_operator_attention/README.md
base_task_classification,base_task,configs/base/task/classification.yaml,单数据集分类 / 简单 DG 任务 base,,,,,,,/,,src/task_factory/__init__.py:build_task,task.*,python main.py --config configs/demo/03_fewshot/cwru_protonet.yaml,trainer.num_epochs=1;task.lr=0.001,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/task/README.md;src/task_factory/README.md
base_task_dg,base_task,configs/base/task/dg.yaml,cross-domain DG 任务 base,,,,,,,/,,src/task_factory/__init__.py:build_task,task.*,python main.py --config configs/demo/01_cross_domain/cwru_dg.yaml,trainer.num_epochs=1;task.target_domain_id=[3],{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/task/README.md;src/task_factory/task/DG/README.md
base_task_cddg,base_task,configs/base/task/cddg.yaml,多系统 CDDG 任务 base,,,,,,,/,,src/task_factory/__init__.py:build_task,task.*,python main.py --config configs/demo/02_cross_system/multi_system_cddg.yaml,trainer.num_epochs=1;task.target_domain_num=1,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/task/README.md;src/task_factory/task/CDDG/README.md
base_task_fewshot,base_task,configs/base/task/fewshot.yaml,单系统 few-shot 任务 base,,,,,,,/,,src/task_factory/__init__.py:build_task,task.*,python main.py --config configs/demo/03_fewshot/cwru_protonet.yaml,trainer.num_epochs=1;task.n_way=5;task.k_shot=5,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/task/README.md;src/task_factory/task/FS/README.md
base_task_cddg_fewshot,base_task,configs/base/task/cddg_fewshot.yaml,跨系统 few-shot 任务 base（GFS 类型）,,,,,,,/,,src/task_factory/__init__.py:build_task,task.*,python main.py --config configs/demo/04_cross_system_fewshot/gfs_dlinear.yaml,trainer.num_epochs=1;task.target_domain_num=1,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/task/README.md;src/task_factory/task/GFS/README.md
base_task_pretrain,base_task,configs/base/task/pretrain.yaml,HSE / ISFM 预训练任务 base,,,,,,,/,,src/task_factory/__init__.py:build_task,task.*,python main.py --config configs/demo/05_pretrain_fewshot/pretrain_hse_then_fewshot.yaml,trainer.num_epochs=1;task.lr=0.0005,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/task/README.md;src/task_factory/task/pretrain/README.md
base_trainer_default_single_gpu,base_trainer,configs/base/trainer/default_single_gpu.yaml,单 GPU 默认 Trainer base,,,,,,,/,,src/trainer_factory/__init__.py:build_trainer,trainer.*,python main.py --config configs/demo/01_cross_domain/cwru_dg.yaml,trainer.num_epochs=1;trainer.device=cpu,{environment.output_dir}/{experiment_name}/iter_{i}/,configs/README.md;configs/base/trainer/README.md;src/trainer_factory/README.md
baseline_01_mfpt_global_average_linear,baseline,configs/baselines/01_mfpt/mfpt_global_average_linear.yaml,"MFPT official train/test, file-grouped validation, three-seed transparent baseline",Pipeline_01_Fault_Diagnosis,configs/base/environment/base.yaml,configs/base/data/base_cross_domain.yaml,configs/base/model/global_average_linear.yaml,configs/base/task/dg.yaml,configs/base/trainer/default_single_gpu.yaml,sanity_ok,baseline_valid,src/Pipeline_01_Fault_Diagnosis.py:pipeline,environment.*;data.*;model.*;task.*;trainer.*,python main.py --config configs/baselines/01_mfpt/mfpt_global_average_linear.yaml,data.data_dir=/absolute/path/to/mfpt;environment.output_dir=/absolute/path/to/results;data.split.manifest_path=/absolute/path/to/results/split_manifest.json,results/baselines/mfpt_global_average_linear_v1/{experiment_name}/iter_{i}/,configs/baselines/01_mfpt/README.md;configs/base/model/README.md
demo_00_smoke_dummy_dg,demo,configs/demo/00_smoke/dummy_dg.yaml,Smoke demo（repo 内置 dummy 数据，开箱即用）,Pipeline_01_Fault_Diagnosis,configs/base/environment/base.yaml,configs/base/data/base_cross_domain.yaml,configs/base/model/backbone_dlinear.yaml,configs/base/task/dg.yaml,configs/base/trainer/default_single_gpu.yaml,sanity_ok,smoke_only,src/Pipeline_01_Fault_Diagnosis.py:pipeline,environment.*;data.*;model.*;task.*;trainer.*,python main.py --config configs/demo/00_smoke/dummy_dg.yaml,trainer.num_epochs=1;trainer.device=cpu;data.num_workers=0,results/demo/dummy_dg_smoke/{experiment_name}/iter_{i}/,configs/demo/README.md;configs/demo/00_smoke/README.md
demo_01_cross_domain,demo,configs/demo/01_cross_domain/cwru_dg.yaml,Cross-domain DG demo（单数据集 DG 示例）,Pipeline_01_Fault_Diagnosis,configs/base/environment/base.yaml,configs/base/data/base_cross_domain.yaml,configs/base/model/backbone_dlinear.yaml,configs/base/task/dg.yaml,configs/base/trainer/default_single_gpu.yaml,sanity_ok,smoke_only,src/Pipeline_01_Fault_Diagnosis.py:pipeline,environment.*;data.*;model.*;task.*;trainer.*,python main.py --config configs/demo/01_cross_domain/cwru_dg.yaml,trainer.num_epochs=1;data.num_workers=0,results/demo/cwru_dg/{experiment_name}/iter_{i}/,configs/demo/README.md;configs/demo/01_cross_domain/README.md
demo_02_cross_system,demo,configs/demo/02_cross_system/multi_system_cddg.yaml,Cross-system CDDG demo（多系统 CDDG 示例）,Pipeline_01_Fault_Diagnosis,configs/base/environment/base.yaml,configs/base/data/base_cross_system.yaml,configs/base/model/backbone_dlinear.yaml,configs/base/task/cddg.yaml,configs/base/trainer/default_single_gpu.yaml,sanity_ok,smoke_only,src/Pipeline_01_Fault_Diagnosis.py:pipeline,environment.*;data.*;model.*;task.*;trainer.*,python main.py --config configs/demo/02_cross_system/multi_system_cddg.yaml,trainer.num_epochs=1;data.num_workers=0,results/demo/multi_system_cddg/{experiment_name}/iter_{i}/,configs/demo/README.md;configs/demo/02_cross_system/README.md
demo_03_fewshot,demo,configs/demo/03_fewshot/cwru_protonet.yaml,Few-shot demo（单系统 few-shot 示例）,Pipeline_01_Fault_Diagnosis,configs/base/environment/base.yaml,configs/base/data/base_fewshot.yaml,configs/base/model/backbone_dlinear.yaml,configs/base/task/fewshot.yaml,configs/base/trainer/default_single_gpu.yaml,sanity_ok,smoke_only,src/Pipeline_01_Fault_Diagnosis.py:pipeline,environment.*;data.*;model.*;task.*;trainer.*,python main.py --config configs/demo/03_fewshot/cwru_protonet.yaml,trainer.num_epochs=1;data.num_workers=0,results/demo/{experiment_name}/iter_{i}/,configs/demo/README.md;configs/demo/03_fewshot/README.md
demo_04_cross_system_fewshot,demo,configs/demo/04_cross_system_fewshot/gfs_dlinear.yaml,Cross-system generalized few-shot demo（GFS + DLinear/HSE）,Pipeline_01_Fault_Diagnosis,configs/base/environment/base.yaml,configs/base/data/base_cross_system_fewshot.yaml,configs/base/model/backbone_dlinear.yaml,configs/base/task/cddg_fewshot.yaml,configs/base/trainer/default_single_gpu.yaml,sanity_ok,smoke_only,src/Pipeline_01_Fault_Diagnosis.py:pipeline,environment.*;data.*;model.*;task.*;trainer.*,python main.py --config configs/demo/04_cross_system_fewshot/gfs_dlinear.yaml,trainer.num_epochs=1;data.num_workers=0,results/demo/cross_system_fewshot_dlinear/{experiment_name}/iter_{i}/,configs/demo/README.md;configs/demo/04_cross_system_fewshot/README.md
