run_id,goal_id,condition_id,model_condition,seed,target_domains,config_path,output_dir,c2_target_seed,pre_run_status
RUN-0029,C06,M1,M1,42,2|3,configs/experiments/p01/p01_c06_m1.yaml,results/p01/c06_m1_seed42,not_applicable,planned
RUN-0030,C06,M2,M2,42,2|3,configs/experiments/p01/p01_c06_m2.yaml,results/p01/c06_m2_seed42,not_applicable,planned
RUN-0031,C06,M3,M3,42,2|3,configs/experiments/p01/p01_c06_m3.yaml,results/p01/c06_m3_seed42,not_applicable,planned
RUN-0032,C06,M4,M4,42,2|3,configs/experiments/p01/p01_c06_m4.yaml,results/p01/c06_m4_seed42,not_applicable,planned
RUN-0033,C06,M5,M5,42,2|3,configs/experiments/p01/p01_c06_m5.yaml,results/p01/c06_m5_seed42,not_applicable,planned
RUN-0034,C06,C1,M4,42,2|3,configs/experiments/p01/p01_c06_c1.yaml,results/p01/c06_c1_seed42,not_applicable,planned
RUN-0035,C06,C2,M5,42,2|3,configs/experiments/p01/p01_c06_c2.yaml,results/p01/c06_c2_seed42,31042,planned
RUN-0036,C06,C3,C3,42,2|3,configs/experiments/p01/p01_c06_c3.yaml,results/p01/c06_c3_seed42,not_applicable,planned
RUN-0037,C06,M1,M1,123,2|3,configs/experiments/p01/p01_c06_m1.yaml,results/p01/c06_m1_seed123,not_applicable,planned
RUN-0038,C06,M2,M2,123,2|3,configs/experiments/p01/p01_c06_m2.yaml,results/p01/c06_m2_seed123,not_applicable,planned
RUN-0039,C06,M3,M3,123,2|3,configs/experiments/p01/p01_c06_m3.yaml,results/p01/c06_m3_seed123,not_applicable,planned
RUN-0040,C06,M4,M4,123,2|3,configs/experiments/p01/p01_c06_m4.yaml,results/p01/c06_m4_seed123,not_applicable,planned
RUN-0041,C06,M5,M5,123,2|3,configs/experiments/p01/p01_c06_m5.yaml,results/p01/c06_m5_seed123,not_applicable,planned
RUN-0042,C06,C1,M4,123,2|3,configs/experiments/p01/p01_c06_c1.yaml,results/p01/c06_c1_seed123,not_applicable,planned
RUN-0043,C06,C2,M5,123,2|3,configs/experiments/p01/p01_c06_c2.yaml,results/p01/c06_c2_seed123,31042,planned
RUN-0044,C06,C3,C3,123,2|3,configs/experiments/p01/p01_c06_c3.yaml,results/p01/c06_c3_seed123,not_applicable,planned
RUN-0045,C06,M1,M1,456,2|3,configs/experiments/p01/p01_c06_m1.yaml,results/p01/c06_m1_seed456,not_applicable,planned
RUN-0046,C06,M2,M2,456,2|3,configs/experiments/p01/p01_c06_m2.yaml,results/p01/c06_m2_seed456,not_applicable,planned
RUN-0047,C06,M3,M3,456,2|3,configs/experiments/p01/p01_c06_m3.yaml,results/p01/c06_m3_seed456,not_applicable,planned
RUN-0048,C06,M4,M4,456,2|3,configs/experiments/p01/p01_c06_m4.yaml,results/p01/c06_m4_seed456,not_applicable,planned
RUN-0049,C06,M5,M5,456,2|3,configs/experiments/p01/p01_c06_m5.yaml,results/p01/c06_m5_seed456,not_applicable,planned
RUN-0050,C06,C1,M4,456,2|3,configs/experiments/p01/p01_c06_c1.yaml,results/p01/c06_c1_seed456,not_applicable,planned
RUN-0051,C06,C2,M5,456,2|3,configs/experiments/p01/p01_c06_c2.yaml,results/p01/c06_c2_seed456,31042,planned
RUN-0052,C06,C3,C3,456,2|3,configs/experiments/p01/p01_c06_c3.yaml,results/p01/c06_c3_seed456,not_applicable,planned
