Id,Dataset_id,Name,File,Original_Label,Protocol_Label,Label,Domain_id,Sample_rate,Protocol_Group,Protocol_Fold,Protocol_Split
1,1,RM_001_CWRU,97.mat,0,0,0,0,12000,CWRU/97.mat,-1,train
2,1,RM_001_CWRU,98.mat,0,0,0,1,12000,CWRU/98.mat,-1,train
3,1,RM_001_CWRU,99.mat,0,0,0,2,12000,CWRU/99.mat,-1,validation
4,1,RM_001_CWRU,100.mat,0,0,0,3,12000,CWRU/100.mat,-1,test
5,1,RM_001_CWRU,105.mat,1,1,1,0,12000,CWRU/105.mat,-1,validation
6,1,RM_001_CWRU,106.mat,1,1,1,1,12000,CWRU/106.mat,-1,train
7,1,RM_001_CWRU,107.mat,1,1,1,2,12000,CWRU/107.mat,-1,train
8,1,RM_001_CWRU,108.mat,1,1,1,3,12000,CWRU/108.mat,-1,test
13,1,RM_001_CWRU,118.mat,2,2,2,0,12000,CWRU/118.mat,-1,train
14,1,RM_001_CWRU,119.mat,2,2,2,1,12000,CWRU/119.mat,-1,train
15,1,RM_001_CWRU,120.mat,2,2,2,2,12000,CWRU/120.mat,-1,train
16,1,RM_001_CWRU,121.mat,2,2,2,3,12000,CWRU/121.mat,-1,test
21,1,RM_001_CWRU,130.mat,3,3,3,0,12000,CWRU/130.mat,-1,validation
22,1,RM_001_CWRU,131.mat,3,3,3,1,12000,CWRU/131.mat,-1,train
23,1,RM_001_CWRU,132.mat,3,3,3,2,12000,CWRU/132.mat,-1,validation
24,1,RM_001_CWRU,133.mat,3,3,3,3,12000,CWRU/133.mat,-1,test
29,1,RM_001_CWRU,144.mat,3,3,3,0,12000,CWRU/144.mat,-1,train
30,1,RM_001_CWRU,145.mat,3,3,3,1,12000,CWRU/145.mat,-1,train
31,1,RM_001_CWRU,146.mat,3,3,3,2,12000,CWRU/146.mat,-1,train
32,1,RM_001_CWRU,147.mat,3,3,3,3,12000,CWRU/147.mat,-1,test
37,1,RM_001_CWRU,156.mat,3,3,3,0,12000,CWRU/156.mat,-1,train
38,1,RM_001_CWRU,158.mat,3,3,3,1,12000,CWRU/158.mat,-1,train
39,1,RM_001_CWRU,159.mat,3,3,3,2,12000,CWRU/159.mat,-1,train
40,1,RM_001_CWRU,160.mat,3,3,3,3,12000,CWRU/160.mat,-1,test
45,1,RM_001_CWRU,169.mat,1,1,1,0,12000,CWRU/169.mat,-1,train
46,1,RM_001_CWRU,170.mat,1,1,1,1,12000,CWRU/170.mat,-1,validation
47,1,RM_001_CWRU,171.mat,1,1,1,2,12000,CWRU/171.mat,-1,validation
48,1,RM_001_CWRU,172.mat,1,1,1,3,12000,CWRU/172.mat,-1,test
53,1,RM_001_CWRU,185.mat,2,2,2,0,12000,CWRU/185.mat,-1,validation
54,1,RM_001_CWRU,186.mat,2,2,2,1,12000,CWRU/186.mat,-1,train
55,1,RM_001_CWRU,187.mat,2,2,2,2,12000,CWRU/187.mat,-1,train
56,1,RM_001_CWRU,188.mat,2,2,2,3,12000,CWRU/188.mat,-1,test
61,1,RM_001_CWRU,197.mat,3,3,3,0,12000,CWRU/197.mat,-1,validation
62,1,RM_001_CWRU,198.mat,3,3,3,1,12000,CWRU/198.mat,-1,train
63,1,RM_001_CWRU,199.mat,3,3,3,2,12000,CWRU/199.mat,-1,train
64,1,RM_001_CWRU,200.mat,3,3,3,3,12000,CWRU/200.mat,-1,test
69,1,RM_001_CWRU,209.mat,1,1,1,0,12000,CWRU/209.mat,-1,train
70,1,RM_001_CWRU,210.mat,1,1,1,1,12000,CWRU/210.mat,-1,train
71,1,RM_001_CWRU,211.mat,1,1,1,2,12000,CWRU/211.mat,-1,train
72,1,RM_001_CWRU,212.mat,1,1,1,3,12000,CWRU/212.mat,-1,test
77,1,RM_001_CWRU,222.mat,2,2,2,0,12000,CWRU/222.mat,-1,train
78,1,RM_001_CWRU,223.mat,2,2,2,1,12000,CWRU/223.mat,-1,train
79,1,RM_001_CWRU,224.mat,2,2,2,2,12000,CWRU/224.mat,-1,train
80,1,RM_001_CWRU,225.mat,2,2,2,3,12000,CWRU/225.mat,-1,test
85,1,RM_001_CWRU,234.mat,3,3,3,0,12000,CWRU/234.mat,-1,train
86,1,RM_001_CWRU,235.mat,3,3,3,1,12000,CWRU/235.mat,-1,train
87,1,RM_001_CWRU,236.mat,3,3,3,2,12000,CWRU/236.mat,-1,train
88,1,RM_001_CWRU,237.mat,3,3,3,3,12000,CWRU/237.mat,-1,test
93,1,RM_001_CWRU,246.mat,3,3,3,0,12000,CWRU/246.mat,-1,validation
94,1,RM_001_CWRU,247.mat,3,3,3,1,12000,CWRU/247.mat,-1,train
95,1,RM_001_CWRU,248.mat,3,3,3,2,12000,CWRU/248.mat,-1,train
96,1,RM_001_CWRU,249.mat,3,3,3,3,12000,CWRU/249.mat,-1,test
101,1,RM_001_CWRU,258.mat,2,2,2,0,12000,CWRU/258.mat,-1,train
102,1,RM_001_CWRU,259.mat,2,2,2,1,12000,CWRU/259.mat,-1,validation
103,1,RM_001_CWRU,260.mat,2,2,2,2,12000,CWRU/260.mat,-1,validation
104,1,RM_001_CWRU,261.mat,2,2,2,3,12000,CWRU/261.mat,-1,test
109,1,RM_001_CWRU,270.mat,1,1,1,0,12000,CWRU/270.mat,-1,train
110,1,RM_001_CWRU,271.mat,1,1,1,1,12000,CWRU/271.mat,-1,validation
111,1,RM_001_CWRU,272.mat,1,1,1,2,12000,CWRU/272.mat,-1,train
112,1,RM_001_CWRU,273.mat,1,1,1,3,12000,CWRU/273.mat,-1,test
113,1,RM_001_CWRU,274.mat,1,1,1,0,12000,CWRU/274.mat,-1,validation
114,1,RM_001_CWRU,275.mat,1,1,1,1,12000,CWRU/275.mat,-1,train
115,1,RM_001_CWRU,276.mat,1,1,1,2,12000,CWRU/276.mat,-1,train
116,1,RM_001_CWRU,277.mat,1,1,1,3,12000,CWRU/277.mat,-1,test
117,1,RM_001_CWRU,278.mat,1,1,1,0,12000,CWRU/278.mat,-1,train
118,1,RM_001_CWRU,279.mat,1,1,1,1,12000,CWRU/279.mat,-1,train
119,1,RM_001_CWRU,280.mat,1,1,1,2,12000,CWRU/280.mat,-1,train
120,1,RM_001_CWRU,281.mat,1,1,1,3,12000,CWRU/281.mat,-1,test
121,1,RM_001_CWRU,282.mat,2,2,2,0,12000,CWRU/282.mat,-1,train
122,1,RM_001_CWRU,283.mat,2,2,2,1,12000,CWRU/283.mat,-1,train
123,1,RM_001_CWRU,284.mat,2,2,2,2,12000,CWRU/284.mat,-1,train
124,1,RM_001_CWRU,285.mat,2,2,2,3,12000,CWRU/285.mat,-1,test
125,1,RM_001_CWRU,286.mat,2,2,2,0,12000,CWRU/286.mat,-1,train
126,1,RM_001_CWRU,287.mat,2,2,2,1,12000,CWRU/287.mat,-1,train
127,1,RM_001_CWRU,288.mat,2,2,2,2,12000,CWRU/288.mat,-1,validation
128,1,RM_001_CWRU,289.mat,2,2,2,3,12000,CWRU/289.mat,-1,test
129,1,RM_001_CWRU,290.mat,2,2,2,0,12000,CWRU/290.mat,-1,validation
130,1,RM_001_CWRU,291.mat,2,2,2,1,12000,CWRU/291.mat,-1,train
131,1,RM_001_CWRU,292.mat,2,2,2,2,12000,CWRU/292.mat,-1,train
132,1,RM_001_CWRU,293.mat,2,2,2,3,12000,CWRU/293.mat,-1,test
133,1,RM_001_CWRU,294.mat,3,3,3,0,12000,CWRU/294.mat,-1,train
134,1,RM_001_CWRU,295.mat,3,3,3,1,12000,CWRU/295.mat,-1,train
135,1,RM_001_CWRU,296.mat,3,3,3,2,12000,CWRU/296.mat,-1,train
136,1,RM_001_CWRU,297.mat,3,3,3,3,12000,CWRU/297.mat,-1,test
137,1,RM_001_CWRU,298.mat,3,3,3,0,12000,CWRU/298.mat,-1,train
138,1,RM_001_CWRU,299.mat,3,3,3,1,12000,CWRU/299.mat,-1,validation
139,1,RM_001_CWRU,300.mat,3,3,3,2,12000,CWRU/300.mat,-1,train
140,1,RM_001_CWRU,301.mat,3,3,3,3,12000,CWRU/301.mat,-1,test
141,1,RM_001_CWRU,302.mat,3,3,3,0,12000,CWRU/302.mat,-1,train
146,1,RM_001_CWRU,309.mat,3,3,3,0,12000,CWRU/309.mat,-1,train
147,1,RM_001_CWRU,310.mat,3,3,3,1,12000,CWRU/310.mat,-1,train
148,1,RM_001_CWRU,311.mat,3,3,3,2,12000,CWRU/311.mat,-1,train
149,1,RM_001_CWRU,312.mat,3,3,3,2,12000,CWRU/312.mat,-1,train
150,1,RM_001_CWRU,313.mat,3,3,3,2,12000,CWRU/313.mat,-1,train
152,1,RM_001_CWRU,315.mat,3,3,3,0,12000,CWRU/315.mat,-1,validation
153,1,RM_001_CWRU,316.mat,3,3,3,1,12000,CWRU/316.mat,-1,validation
154,1,RM_001_CWRU,317.mat,3,3,3,2,12000,CWRU/317.mat,-1,validation
155,1,RM_001_CWRU,318.mat,3,3,3,3,12000,CWRU/318.mat,-1,test
