Id,Dataset_id,Name,Description,TYPE,File,Visiable,Label,Label_Description,RUL_label,RUL_label_description,Domain_id,Domain_description,Sample_rate,Sample_lenth,Channel,Fault_Diagnosis,Anomaly_Detection,Remaining_Life,Digital_Twin_Prediction,Fault_level,sample_rate,sample_length,channel
1,1,RM_001_CWRU,,,97.mat,1,0,,0,,0,,,,,,,,,0,12000,243938,2
2,1,RM_001_CWRU,,,98.mat,1,0,,0,,1,,,,,,,,,0,12000,483903,2
3,1,RM_001_CWRU,,,99.mat,1,0,,0,,2,,,,,,,,,0,12000,485063,2
4,1,RM_001_CWRU,,,100.mat,1,0,,0,,3,,,,,,,,,0,12000,485643,2
5,1,RM_001_CWRU,,,105.mat,1,1,,0,,0,,,,,,,,,1,12000,121265,2
6,1,RM_001_CWRU,,,106.mat,1,1,,0,,1,,,,,,,,,1,12000,121991,2
7,1,RM_001_CWRU,,,107.mat,1,1,,0,,2,,,,,,,,,1,12000,122136,2
8,1,RM_001_CWRU,,,108.mat,1,1,,0,,3,,,,,,,,,1,12000,122917,2
9,1,RM_001_CWRU,,,109.mat,1,1,,0,,0,,,,,,,,,1,48000,243938,2
10,1,RM_001_CWRU,,,110.mat,1,1,,0,,1,,,,,,,,,1,48000,486224,2
11,1,RM_001_CWRU,,,111.mat,1,1,,0,,2,,,,,,,,,1,48000,485643,2
12,1,RM_001_CWRU,,,112.mat,1,1,,0,,3,,,,,,,,,1,48000,485643,2
13,1,RM_001_CWRU,,,118.mat,1,2,,0,,0,,,,,,,,,1,12000,122571,2
14,1,RM_001_CWRU,,,119.mat,1,2,,0,,1,,,,,,,,,1,12000,121410,2
15,1,RM_001_CWRU,,,120.mat,1,2,,0,,2,,,,,,,,,1,12000,121556,2
16,1,RM_001_CWRU,,,121.mat,1,2,,0,,3,,,,,,,,,1,12000,121556,2
17,1,RM_001_CWRU,,,122.mat,1,2,,0,,0,,,,,,,,,1,48000,244739,2
18,1,RM_001_CWRU,,,123.mat,1,2,,0,,1,,,,,,,,,1,48000,487384,2
19,1,RM_001_CWRU,,,124.mat,1,2,,0,,2,,,,,,,,,1,48000,486804,2
20,1,RM_001_CWRU,,,125.mat,1,2,,0,,3,,,,,,,,,1,48000,488545,2
21,1,RM_001_CWRU,,,130.mat,1,3,,0,,0,,,,,,,,,1,12000,121991,2
22,1,RM_001_CWRU,,,131.mat,1,3,,0,,1,,,,,,,,,1,12000,122426,2
23,1,RM_001_CWRU,,,132.mat,1,3,,0,,2,,,,,,,,,1,12000,121410,2
24,1,RM_001_CWRU,,,133.mat,1,3,,0,,3,,,,,,,,,1,12000,122571,2
25,1,RM_001_CWRU,,,135.mat,1,3,,0,,0,,,,,,,,,1,48000,243538,2
26,1,RM_001_CWRU,,,136.mat,1,3,,0,,1,,,,,,,,,1,48000,486804,2
27,1,RM_001_CWRU,,,137.mat,1,3,,0,,2,,,,,,,,,1,48000,486804,2
28,1,RM_001_CWRU,,,138.mat,1,3,,0,,3,,,,,,,,,1,48000,487964,2
29,1,RM_001_CWRU,,,144.mat,1,3,,0,,0,,,,,,,,,1,12000,122281,2
30,1,RM_001_CWRU,,,145.mat,1,3,,0,,1,,,,,,,,,1,12000,121846,2
31,1,RM_001_CWRU,,,146.mat,1,3,,0,,2,,,,,,,,,1,12000,121556,2
32,1,RM_001_CWRU,,,147.mat,1,3,,0,,3,,,,,,,,,1,12000,122281,2
33,1,RM_001_CWRU,,,148.mat,1,3,,0,,0,,,,,,,,,1,48000,124602,2
34,1,RM_001_CWRU,,,149.mat,1,3,,0,,1,,,,,,,,,1,48000,485063,2
35,1,RM_001_CWRU,,,150.mat,1,3,,0,,2,,,,,,,,,1,48000,485643,2
36,1,RM_001_CWRU,,,151.mat,1,3,,0,,3,,,,,,,,,1,48000,486224,2
37,1,RM_001_CWRU,,,156.mat,1,3,,0,,0,,,,,,,,,1,12000,122281,2
38,1,RM_001_CWRU,,,158.mat,1,3,,0,,1,,,,,,,,,1,12000,121991,2
39,1,RM_001_CWRU,,,159.mat,1,3,,0,,2,,,,,,,,,1,12000,122281,2
40,1,RM_001_CWRU,,,160.mat,1,3,,0,,3,,,,,,,,,1,12000,122136,2
41,1,RM_001_CWRU,,,161.mat,1,3,,0,,0,,,,,,,,,1,48000,129969,2
42,1,RM_001_CWRU,,,162.mat,1,3,,0,,1,,,,,,,,,1,48000,482742,2
43,1,RM_001_CWRU,,,163.mat,1,3,,0,,2,,,,,,,,,1,48000,483323,2
44,1,RM_001_CWRU,,,164.mat,1,3,,0,,3,,,,,,,,,1,48000,484483,2
45,1,RM_001_CWRU,,,169.mat,1,1,,0,,0,,,,,,,,,2,12000,121846,2
46,1,RM_001_CWRU,,,170.mat,1,1,,0,,1,,,,,,,,,2,12000,121846,2
47,1,RM_001_CWRU,,,171.mat,1,1,,0,,2,,,,,,,,,2,12000,121846,2
48,1,RM_001_CWRU,,,172.mat,1,1,,0,,3,,,,,,,,,2,12000,121701,2
49,1,RM_001_CWRU,,,174.mat,1,1,,0,,1,,,,,,,,,2,48000,63788,2
50,1,RM_001_CWRU,,,175.mat,1,1,,0,,2,,,,,,,,,2,48000,381890,2
51,1,RM_001_CWRU,,,176.mat,1,1,,0,,3,,,,,,,,,2,48000,487964,2
52,1,RM_001_CWRU,,,177.mat,1,1,,0,,3,,,,,,,,,2,48000,485063,2
53,1,RM_001_CWRU,,,185.mat,1,2,,0,,0,,,,,,,,,2,12000,121846,2
54,1,RM_001_CWRU,,,186.mat,1,2,,0,,1,,,,,,,,,2,12000,122136,2
55,1,RM_001_CWRU,,,187.mat,1,2,,0,,2,,,,,,,,,2,12000,121991,2
56,1,RM_001_CWRU,,,188.mat,1,2,,0,,3,,,,,,,,,2,12000,122136,2
57,1,RM_001_CWRU,,,189.mat,1,2,,0,,0,,,,,,,,,2,48000,249146,2
58,1,RM_001_CWRU,,,190.mat,1,2,,0,,1,,,,,,,,,2,48000,486224,2
59,1,RM_001_CWRU,,,191.mat,1,2,,0,,2,,,,,,,,,2,48000,487384,2
60,1,RM_001_CWRU,,,192.mat,1,2,,0,,3,,,,,,,,,2,48000,486804,2
61,1,RM_001_CWRU,,,197.mat,1,3,,0,,0,,,,,,,,,2,12000,121846,2
62,1,RM_001_CWRU,,,198.mat,1,3,,0,,1,,,,,,,,,2,12000,122136,2
63,1,RM_001_CWRU,,,199.mat,1,3,,0,,2,,,,,,,,,2,12000,121846,2
64,1,RM_001_CWRU,,,200.mat,1,3,,0,,3,,,,,,,,,2,12000,121991,2
65,1,RM_001_CWRU,,,201.mat,1,3,,0,,0,,,,,,,,,2,48000,245140,2
66,1,RM_001_CWRU,,,202.mat,1,3,,0,,1,,,,,,,,,2,48000,484483,2
67,1,RM_001_CWRU,,,203.mat,1,3,,0,,2,,,,,,,,,2,48000,486804,2
68,1,RM_001_CWRU,,,204.mat,1,3,,0,,3,,,,,,,,,2,48000,488545,2
69,1,RM_001_CWRU,,,209.mat,1,1,,0,,0,,,,,,,,,3,12000,122136,2
70,1,RM_001_CWRU,,,210.mat,1,1,,0,,1,,,,,,,,,3,12000,121556,2
71,1,RM_001_CWRU,,,211.mat,1,1,,0,,2,,,,,,,,,3,12000,121846,2
72,1,RM_001_CWRU,,,212.mat,1,1,,0,,3,,,,,,,,,3,12000,121991,2
73,1,RM_001_CWRU,,,213.mat,1,1,,0,,0,,,,,,,,,3,48000,244339,2
74,1,RM_001_CWRU,,,214.mat,1,1,,0,,1,,,,,,,,,3,48000,485063,2
75,1,RM_001_CWRU,,,215.mat,1,1,,0,,2,,,,,,,,,3,48000,491446,2
76,1,RM_001_CWRU,,,217.mat,1,1,,0,,3,,,,,,,,,3,48000,489125,2
77,1,RM_001_CWRU,,,222.mat,1,2,,0,,0,,,,,,,,,3,12000,121991,2
78,1,RM_001_CWRU,,,223.mat,1,2,,0,,1,,,,,,,,,3,12000,121701,2
79,1,RM_001_CWRU,,,224.mat,1,2,,0,,2,,,,,,,,,3,12000,122136,2
80,1,RM_001_CWRU,,,225.mat,1,2,,0,,3,,,,,,,,,3,12000,122136,2
81,1,RM_001_CWRU,,,226.mat,1,2,,0,,0,,,,,,,,,3,48000,243938,2
82,1,RM_001_CWRU,,,227.mat,1,2,,0,,1,,,,,,,,,3,48000,486804,2
83,1,RM_001_CWRU,,,228.mat,1,2,,0,,2,,,,,,,,,3,48000,487384,2
84,1,RM_001_CWRU,,,229.mat,1,2,,0,,3,,,,,,,,,3,48000,486804,2
85,1,RM_001_CWRU,,,234.mat,1,3,,0,,0,,,,,,,,,3,12000,122426,2
86,1,RM_001_CWRU,,,235.mat,1,3,,0,,1,,,,,,,,,3,12000,121991,2
87,1,RM_001_CWRU,,,236.mat,1,3,,0,,2,,,,,,,,,3,12000,122281,2
88,1,RM_001_CWRU,,,237.mat,1,3,,0,,3,,,,,,,,,3,12000,121991,2
89,1,RM_001_CWRU,,,238.mat,1,3,,0,,0,,,,,,,,,3,48000,246342,2
90,1,RM_001_CWRU,,,239.mat,1,3,,0,,1,,,,,,,,,3,48000,489125,2
91,1,RM_001_CWRU,,,240.mat,1,3,,0,,2,,,,,,,,,3,48000,487964,2
92,1,RM_001_CWRU,,,241.mat,1,3,,0,,3,,,,,,,,,3,48000,489125,2
93,1,RM_001_CWRU,,,246.mat,1,3,,0,,0,,,,,,,,,2,12000,121701,2
94,1,RM_001_CWRU,,,247.mat,1,3,,0,,1,,,,,,,,,2,12000,121991,2
95,1,RM_001_CWRU,,,248.mat,1,3,,0,,2,,,,,,,,,2,12000,122281,2
96,1,RM_001_CWRU,,,249.mat,1,3,,0,,3,,,,,,,,,2,12000,122136,2
97,1,RM_001_CWRU,,,250.mat,1,3,,0,,0,,,,,,,,,3,48000,128663,2
98,1,RM_001_CWRU,,,251.mat,1,3,,0,,1,,,,,,,,,3,48000,489705,2
