File,Label,RUL_label,Domain_id,Fault_level,sample_rate,sample_length,channel
100,0,0,3,0,12000,485643,2
105,1,0,0,1,12000,121265,2
106,1,0,1,1,12000,121991,2
107,1,0,2,1,12000,122136,2
108,1,0,3,1,12000,122917,2
109,1,0,0,1,48000,243938,2
110,1,0,1,1,48000,486224,2
111,1,0,2,1,48000,485643,2
112,1,0,3,1,48000,485643,2
118,2,0,0,1,12000,122571,2
119,2,0,1,1,12000,121410,2
120,2,0,2,1,12000,121556,2
121,2,0,3,1,12000,121556,2
122,2,0,0,1,48000,244739,2
123,2,0,1,1,48000,487384,2
124,2,0,2,1,48000,486804,2
125,2,0,3,1,48000,488545,2
130,3,0,0,1,12000,121991,2
131,3,0,1,1,12000,122426,2
132,3,0,2,1,12000,121410,2
133,3,0,3,1,12000,122571,2
135,3,0,0,1,48000,243538,2
136,3,0,1,1,48000,486804,2
137,3,0,2,1,48000,486804,2
138,3,0,3,1,48000,487964,2
144,3,0,0,1,12000,122281,2
145,3,0,1,1,12000,121846,2
146,3,0,2,1,12000,121556,2
147,3,0,3,1,12000,122281,2
148,3,0,0,1,48000,124602,2
149,3,0,1,1,48000,485063,2
150,3,0,2,1,48000,485643,2
151,3,0,3,1,48000,486224,2
156,3,0,0,1,12000,122281,2
158,3,0,1,1,12000,121991,2
159,3,0,2,1,12000,122281,2
160,3,0,3,1,12000,122136,2
161,3,0,0,1,48000,129969,2
162,3,0,1,1,48000,482742,2
163,3,0,2,1,48000,483323,2
164,3,0,3,1,48000,484483,2
169,1,0,0,2,12000,121846,2
170,1,0,1,2,12000,121846,2
171,1,0,2,2,12000,121846,2
172,1,0,3,2,12000,121701,2
174,1,0,1,2,48000,63788,2
175,1,0,2,2,48000,381890,2
176,1,0,3,2,48000,487964,2
177,1,0,3,2,48000,485063,2
185,2,0,0,2,12000,121846,2
186,2,0,1,2,12000,122136,2
187,2,0,2,2,12000,121991,2
188,2,0,3,2,12000,122136,2
189,2,0,0,2,48000,249146,2
190,2,0,1,2,48000,486224,2
191,2,0,2,2,48000,487384,2
192,2,0,3,2,48000,486804,2
197,3,0,0,2,12000,121846,2
198,3,0,1,2,12000,122136,2
199,3,0,2,2,12000,121846,2
200,3,0,3,2,12000,121991,2
201,3,0,0,2,48000,245140,2
202,3,0,1,2,48000,484483,2
203,3,0,2,2,48000,486804,2
204,3,0,3,2,48000,488545,2
209,1,0,0,3,12000,122136,2
210,1,0,1,3,12000,121556,2
211,1,0,2,3,12000,121846,2
212,1,0,3,3,12000,121991,2
213,1,0,0,3,48000,244339,2
214,1,0,1,3,48000,485063,2
215,1,0,2,3,48000,491446,2
217,1,0,3,3,48000,489125,2
222,2,0,0,3,12000,121991,2
223,2,0,1,3,12000,121701,2
224,2,0,2,3,12000,122136,2
225,2,0,3,3,12000,122136,2
226,2,0,0,3,48000,243938,2
227,2,0,1,3,48000,486804,2
228,2,0,2,3,48000,487384,2
229,2,0,3,3,48000,486804,2
234,3,0,0,3,12000,122426,2
235,3,0,1,3,12000,121991,2
236,3,0,2,3,12000,122281,2
237,3,0,3,3,12000,121991,2
238,3,0,0,3,48000,246342,2
239,3,0,1,3,48000,489125,2
240,3,0,2,3,48000,487964,2
241,3,0,3,3,48000,489125,2
246,3,0,0,2,12000,121701,2
247,3,0,1,2,12000,121991,2
248,3,0,2,2,12000,122281,2
249,3,0,3,2,12000,122136,2
250,3,0,0,3,48000,128663,2
251,3,0,1,3,48000,489705,2
252,3,0,2,3,48000,487384,2
253,3,0,3,3,48000,484483,2
258,2,0,0,2,12000,121846,2
259,2,0,1,2,12000,122426,2
260,2,0,2,2,12000,122716,2
261,2,0,3,2,12000,121701,2
262,3,0,0,3,48000,130549,2
263,3,0,1,3,48000,486224,2
264,3,0,2,3,48000,486804,2
265,3,0,3,3,48000,486224,2
270,1,0,0,4,12000,121168,2
271,1,0,1,4,12000,121168,2
272,1,0,2,4,12000,120984,2
273,1,0,3,3,12000,121168,2
274,1,0,0,3,12000,121351,2
275,1,0,1,3,12000,121351,2
276,1,0,2,3,12000,121351,2
277,1,0,3,3,12000,121168,2
278,1,0,0,1,12000,121535,2
279,1,0,1,1,12000,121351,2
280,1,0,2,1,12000,121351,2
281,1,0,3,1,12000,121535,2
282,2,0,0,4,12000,121168,2
283,2,0,1,4,12000,120801,2
284,2,0,2,4,12000,121719,2
285,2,0,3,1,12000,121168,2
286,2,0,0,3,12000,122086,2
287,2,0,1,3,12000,121719,2
288,2,0,2,3,12000,122269,2
289,2,0,3,3,12000,121168,2
290,2,0,0,3,12000,121351,2
291,2,0,1,3,12000,121351,2
292,2,0,2,3,12000,121535,2
293,2,0,3,3,12000,120801,2
294,3,0,0,4,12000,121168,2
295,3,0,1,4,12000,121535,2
296,3,0,2,4,12000,121168,2
297,3,0,3,1,12000,121902,2
298,3,0,0,3,12000,120984,2
299,3,0,1,3,12000,121168,2
300,3,0,2,3,12000,121902,2
3001,1,0,0,3,12000,120801,1
3002,1,0,1,3,12000,121351,1
3003,1,0,2,3,12000,121351,1
3004,1,0,3,3,12000,121535,1
3005,2,0,0,3,12000,120801,1
3006,2,0,1,3,12000,121351,1
3007,2,0,2,3,12000,120984,1
3008,2,0,3,3,12000,120984,1
301,3,0,3,3,12000,121719,2
302,3,0,0,1,12000,121168,2
309,3,0,0,4,12000,121168,2
310,3,0,1,4,12000,121535,2
311,3,0,2,4,12000,120984,2
312,3,0,2,3,12000,120984,2
313,3,0,2,0,12000,120984,2
315,3,0,0,4,12000,120617,2
316,3,0,1,4,12000,120617,2
317,3,0,2,4,12000,120617,2
318,3,0,3,3,12000,121351,2
97,0,0,0,0,12000,243938,2
98,0,0,1,0,12000,483903,2
99,0,0,2,0,12000,485063,2
