timestamp,channel1,channel2,channel3,channel4,label
0,0.1234,0.2345,0.3456,0.4567,0
1,0.2345,0.3456,0.4567,0.5678,0
2,0.3456,0.4567,0.5678,0.6789,0
3,0.4567,0.5678,0.6789,0.7890,0
4,0.5678,0.6789,0.7890,0.8901,0
5,0.6789,0.7890,0.8901,0.9012,0
6,0.7890,0.8901,0.9012,0.0123,0
7,0.8901,0.9012,0.0123,0.1234,0
8,0.9012,0.0123,0.1234,0.2345,0
9,0.0123,0.1234,0.2345,0.3456,0
10,1.1234,1.2345,1.3456,1.4567,0
11,1.2345,1.3456,1.4567,1.5678,0
12,1.3456,1.4567,1.5678,1.6789,0
13,1.4567,1.5678,1.6789,1.7890,0
14,1.5678,1.6789,1.7890,1.8901,0
15,1.6789,1.7890,1.8901,1.9012,0
16,1.7890,1.8901,1.9012,1.0123,0
17,1.8901,1.9012,1.0123,1.1234,0
18,1.9012,1.0123,1.1234,1.2345,0
19,1.0123,1.1234,1.2345,1.3456,0
20,0.1234,0.2345,0.3456,0.4567,0
21,0.2345,0.3456,0.4567,0.5678,0
22,0.3456,0.4567,0.5678,0.6789,0
23,0.4567,0.5678,0.6789,0.7890,0
24,0.5678,0.6789,0.7890,0.8901,0
25,0.6789,0.7890,0.8901,0.9012,0
26,0.7890,0.8901,0.9012,0.0123,0
27,0.8901,0.9012,0.0123,0.1234,0
28,0.9012,0.0123,0.1234,0.2345,0
29,0.0123,0.1234,0.2345,0.3456,0
30,0.1234,0.2345,0.3456,0.4567,0
31,0.2345,0.3456,0.4567,0.5678,0
32,0.3456,0.4567,0.5678,0.6789,0
33,0.4567,0.5678,0.6789,0.7890,0
34,0.5678,0.6789,0.7890,0.8901,0
35,0.6789,0.7890,0.8901,0.9012,0
36,0.7890,0.8901,0.9012,0.0123,0
37,0.8901,0.9012,0.0123,0.1234,0
38,0.9012,0.0123,0.1234,0.2345,0
39,0.0123,0.1234,0.2345,0.3456,0
40,2.1234,2.2345,2.3456,2.4567,0
41,2.2345,2.3456,2.4567,2.5678,0
42,2.3456,2.4567,2.5678,2.6789,0
43,2.4567,2.5678,2.6789,2.7890,0
44,2.5678,2.6789,2.7890,2.8901,0
45,2.6789,2.7890,2.8901,2.9012,0
46,2.7890,2.8901,2.9012,2.0123,0
47,2.8901,2.9012,2.0123,2.1234,0
48,2.9012,2.0123,2.1234,2.2345,0
49,2.0123,2.1234,2.2345,2.3456,0
