index,ch1,ch2
0,0.0000,0.0000
1,0.0123,0.0123
2,0.0245,0.0245
3,0.0368,0.0368
4,0.0491,0.0491
5,0.0613,0.0613
6,0.0736,0.0736
7,0.0858,0.0858
8,0.0980,0.0980
9,0.1102,0.1102
10,0.1224,0.1224
11,0.1346,0.1346
12,0.1467,0.1467
13,0.1588,0.1588
14,0.1709,0.1709
15,0.1830,0.1830
16,0.1950,0.1950
17,0.2070,0.2070
18,0.2190,0.2190
19,0.2309,0.2309
20,0.2427,0.2427
21,0.2546,0.2546
22,0.2663,0.2663
23,0.2780,0.2780
24,0.2896,0.2896
25,0.3012,0.3012
26,0.3127,0.3127
27,0.3241,0.3241
28,0.3355,0.3355
29,0.3468,0.3468
30,0.3580,0.3580
31,0.3691,0.3691
32,0.3802,0.3802
33,0.3912,0.3912
34,0.4021,0.4021
35,0.4129,0.4129
36,0.4236,0.4236
37,0.4342,0.4342
38,0.4448,0.4448
39,0.4552,0.4552
40,0.4656,0.4656
41,0.4758,0.4758
42,0.4860,0.4860
43,0.4960,0.4960
44,0.5060,0.5060
45,0.5159,0.5159
46,0.5256,0.5256
47,0.5353,0.5353
48,0.5449,0.5449
49,0.5544,0.5544
50,0.5637,0.5637
51,0.5730,0.5730
52,0.5821,0.5821
53,0.5912,0.5912
54,0.6001,0.6001
55,0.6089,0.6089
56,0.6176,0.6176
57,0.6261,0.6261
58,0.6346,0.6346
59,0.6429,0.6429
60,0.6512,0.6512
61,0.6593,0.6593
62,0.6673,0.6673
63,0.6751,0.6751
64,0.6829,0.6829
65,0.6905,0.6905
66,0.6980,0.6980
67,0.7054,0.7054
68,0.7127,0.7127
69,0.7199,0.7199
70,0.7269,0.7269
71,0.7338,0.7338
72,0.7406,0.7406
73,0.7472,0.7472
74,0.7538,0.7538
75,0.7601,0.7601
76,0.7663,0.7663
77,0.7723,0.7723
78,0.7783,0.7783
79,0.7840,0.7840
80,0.7897,0.7897
81,0.7951,0.7951
82,0.8005,0.8005
83,0.8056,0.8056
84,0.8107,0.8107
85,0.8155,0.8155
86,0.8202,0.8202
87,0.8247,0.8247
88,0.8291,0.8291
89,0.8334,0.8334
90,0.8375,0.8375
91,0.8414,0.8414
92,0.8451,0.8451
93,0.8487,0.8487
94,0.8521,0.8521
95,0.8554,0.8554
96,0.8585,0.8585
97,0.8614,0.8614
98,0.8642,0.8642
99,0.8668,0.8668
100,0.8692,0.8692
101,0.8715,0.8715
102,0.8736,0.8736
103,0.8756,0.8756
104,0.8774,0.8774
105,0.8790,0.8790
106,0.8805,0.8805
107,0.8818,0.8818
108,0.8830,0.8830
109,0.8840,0.8840
110,0.8849,0.8849
111,0.8856,0.8856
112,0.8863,0.8863
113,0.8867,0.8867
114,0.8871,0.8871
115,0.8873,0.8873
116,0.8873,0.8873
117,0.8872,0.8872
118,0.8870,0.8870
119,0.8866,0.8866
120,0.8860,0.8860
121,0.8853,0.8853
122,0.8845,0.8845
123,0.8835,0.8835
124,0.8824,0.8824
125,0.8812,0.8812
126,0.8798,0.8798
127,0.8782,0.8782
128,0.8765,0.8765
129,0.8746,0.8746
130,0.8726,0.8726
131,0.8704,0.8704
132,0.8680,0.8680
133,0.8655,0.8655
134,0.8628,0.8628
135,0.8600,0.8600
136,0.8570,0.8570
137,0.8538,0.8538
138,0.8505,0.8505
139,0.8469,0.8469
140,0.8433,0.8433
141,0.8394,0.8394
142,0.8354,0.8354
143,0.8313,0.8313
144,0.8270,0.8270
145,0.8225,0.8225
