branch	head_sha	last_commit_at	last_author	protected	default_branch	open_pr	closed_pr	merged_pr	pr_numbers	latest_pr_number	latest_pr_base	latest_pr_url	ahead_main	behind_main	ahead_dev	behind_dev	ancestor_of_main	ancestor_of_dev	unique_commit_count_vs_dev	unique_file_count_vs_dev	physical_ancestry_required	content_port_required	decision	reason	delete_batch
004-uxfd-paper-alignment	d8a610c3f14c9115e6086f29abaaa538d2750bb7	2026-06-23T22:51:03+08:00	liq22	false	false	false	false	false					375	45	375	213	false	false	375	714	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/paper-program-runtime-contract-20260721	06a4e6b4a1d30def69dc389b250e585f3239bdc4	2026-07-21T00:30:40+08:00	liq22	false	false	false	true	false	83	83	main	https://github.com/PHMbench/PHM-Vibench/pull/83	1	0	1	168	false	false	1	2	false	false	rebuild_from_dev	legacy PR(s) #83 require bounded replacement	K5/R07
agent/v030-agent-cleanup-validation	7b6ccc119d8128b18b43682cdfd2e91c3868f278	2026-07-23T16:32:16+08:00	liq22	false	false	false	true	false	111	111	main	https://github.com/PHMbench/PHM-Vibench/pull/111	100	0	0	68	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-agent-hidden-cleanup-batch2	612fc54589cffbf341a872773a5f1f64d9f9120f	2026-07-23T09:48:29+08:00	liq22	false	false	false	true	false	87	87	agent/v030-agent-root-cleanup-batch1	https://github.com/PHMbench/PHM-Vibench/pull/87	18	0	14	164	false	false	14	77	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-agent-root-cleanup-batch1	b725a270736e63cf292a578b5e3384dbd41496a0	2026-07-23T09:38:48+08:00	liq22	false	false	false	true	false	86	86	agent/v030-repository-contract	https://github.com/PHMbench/PHM-Vibench/pull/86	15	0	11	164	false	false	11	11	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-agent-workspace-cleanup-pr03a	7b6ccc119d8128b18b43682cdfd2e91c3868f278	2026-07-23T16:32:16+08:00	liq22	false	false	false	true	true	123,110	123	agent/v030-canonical-integration-r2	https://github.com/PHMbench/PHM-Vibench/pull/123	100	0	0	68	false	true	0	0	true	false	hold_physical_ancestry	required source-head ancestry for canonical PR until merged main is verified	K1/R06
agent/v030-branding-changelog-pr12b	b2941db404514f8af8d13dccddacd8aebefef84d	2026-07-23T16:34:19+08:00	liq22	false	false	false	true	false	112	112	agent/v030-release-readiness-pr12-r2	https://github.com/PHMbench/PHM-Vibench/pull/112	103	0	0	65	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-canonical-integration-r2	ea48534e5167c189b73091fc4b6e21614cd16389	2026-07-28T11:51:23+08:00	liq22	false	false	true	false	false	127	127	main	https://github.com/PHMbench/PHM-Vibench/pull/127	173	0	6	1	false	false	6	4	false	false	hold_until_canonical_post_merge	PR #127 source and ancestry authority; delete last after main/dev synchronization	K1/R14
agent/v030-case-collision-history-pr11	6ab67111c9c1609f3cdd2339016e4cad237466ef	2026-07-23T16:09:35+08:00	liq22	false	false	false	true	false	105	105	agent/v030-workspace-migration-pr10-final	https://github.com/PHMbench/PHM-Vibench/pull/105	93	0	0	75	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-cwru-dual-source-pr07	fa4a0306fc2ee4aee846812b5ed0e05837a50807	2026-07-23T14:11:46+08:00	liq22	false	false	false	true	false	97	97	agent/v030-public-config-resolver-pr06	https://github.com/PHMbench/PHM-Vibench/pull/97	42	0	0	126	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
