category,path,tracked_file_count,v0_3_action,notes
agent,.claude,55,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
agent,.codex,10,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
development,dev,114,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
historical,.archive,1,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
paper,paper,13,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
result,results,1,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
result,metrics_reports,1,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
report,reports,2,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
plot,plot,12,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
reader_output,src/data_factory/reader/output,8,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
historical,docs/past,11,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
historical,docs/v0.1.0,11,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
historical_config,configs/v0.0.9,46,inventory_then_migrate_or_remove,do not delete before destination/provenance verification
agent,AGENTS.md,1,archive_then_remove,vendor/personal workflow document
agent,AGENTS_CN.md,1,archive_then_remove,vendor/personal workflow document
agent,CLAUDE.md,1,archive_then_remove,vendor/personal workflow document
agent,CLAUDE_CN.md,1,archive_then_remove,vendor/personal workflow document
agent,Codex_agent.md,1,archive_then_remove,vendor/personal workflow document
agent,GEMINI.md,1,archive_then_remove,vendor/personal workflow document
generated,**/__pycache__/** and *.py[co],0,remove_and_ignore,generated bytecode
