module,path,status,file_sha256,read_signature,read_ast_sha256,metadata_reference_count,metadata_reference_paths,direct_python_consumer_count,direct_python_consumer_paths,generic_runtime_consumer,notes
Dummy_Data,src/data_factory/reader/Dummy_Data.py,maintained,3d92b76fdda633145be3843d41919c004e01a032a28afa5e8903291050769cc6,"read(file_path, *args)",1cc1cee75cbfc32b0ae97f2c0709b99e30b2b9d32545576ebe34268376182db0,5,apps/streamlit/template_profiles.yaml;configs/base/model/tspn_uxfd.yaml;configs/experiments/generative/dummy_generative_cfm.yaml;data/README.md;data/metadata_dummy.csv,2,src/data_factory/data_factory.py;test/generative/test_pretrain_prediction_contract.py,src/data_factory/data_factory.py,
RM_001_CWRU,src/data_factory/reader/RM_001_CWRU.py,maintained,11e48d87f4d85566c4a5851157f3e22211a2ca58c29758e8ddbba9e770c8047b,"read(file_path, *args)",e037bcc6028f9f47077caf774306a663b8d93fd6e2fa4954e02a1bd5a3f3959d,1,data/metadata.xlsx,1,src/data_factory/datainfo.py,src/data_factory/data_factory.py,
RM_002_XJTU,src/data_factory/reader/RM_002_XJTU.py,maintained,74bc54de74989acd49b9937bc7637c80d5280dc50ffdbe9cccdef01f5d5f3c45,"read(file_path, *args)",2ec893b7c4beed034700b6c2779db41828f34ea3c8d1e33ae5adeebdfd400b98,2,data/metadata.xlsx;data/utils/update_002_XJTU_metadata.py,3,data/utils/update_002_XJTU_metadata.py;src/data_factory/reader/RM_003_FEMTO.py;src/data_factory/reader/RM_004_IMS.py,src/data_factory/data_factory.py,
RM_003_FEMTO,src/data_factory/reader/RM_003_FEMTO.py,maintained,f841cb234464eba3e0991aaba785fb43799cab23a1350ea2bf522ed876f40833,"read(file_path, *args)",e40ca1e79fa237ec8aacfffb8b221a764a14c4c0e72af23e6fb325c58389aaf3,2,data/metadata.xlsx;data/utils/update_003_FEMTO_metadata.py,1,data/utils/update_003_FEMTO_metadata.py,src/data_factory/data_factory.py,
RM_004_IMS,src/data_factory/reader/RM_004_IMS.py,maintained,5ab2fce1b2ddc6a42e47716269a7650d3eb32a00a9fd3ddcdf521e088262acc8,"read(file_path, *args)",c98f9abe7f60156eed504631009ffa84da9899e62ce5ae7c5cf256c1259018eb,2,data/metadata.xlsx;data/utils/update_004_IMS_metadata.py,2,data/utils/update_004_IMS_metadata.py;src/data_factory/datainfo.py,src/data_factory/data_factory.py,
RM_005_Ottawa23,src/data_factory/reader/RM_005_Ottawa23.py,maintained,a3cd19aad4086a554b149d46916f1cc22534f947b19e47a23fe9fc479777a335,"read(file_path, *args)",62152b304657471ef035c46f43e817d7fc96fe75424df26febd3ce7aecd53163,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
RM_006_THU,src/data_factory/reader/RM_006_THU.py,maintained,5805e8dd7f4738086ba15f11f99b17549e97cf4f4143aebc62c33da8fae45b12,"read(file_path, *args)",909555b72b9f4a07a57ded1e5424f5d4d8c6d99f5b56aab2c8ed4b2b5d2ee70a,1,data/metadata.xlsx,1,src/data_factory/data_utils.py,src/data_factory/data_factory.py,
RM_007_MFPT,src/data_factory/reader/RM_007_MFPT.py,maintained,b6d462b413699a2c5536e99823f1fafe3a09e996fed886994b136f4593a22245,"read(file_path, *args)",a2dccf6d1b8c338ec7d70391af779537434db170419c54459fa9ead9f8f3c3a0,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
RM_008_UNSW,src/data_factory/reader/RM_008_UNSW.py,maintained,46f0af6cd2bdf899909e0c91e7aa0b9968204246ae03bf71556f6594de3f1d98,"read(file_path, *args)",c53f08236303ef7b4d445e3d47a13b30344a8d96bc7038c98194eb866e774576,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
RM_010_SEU,src/data_factory/reader/RM_010_SEU.py,maintained,10abf15c596c58c4ff0dc4af8592a4ea020cf4691548ad4a9804055cf808f768,"read(file_path, *args)",5f3a96fdda09dd3318071d99ae6464d0ff72926c3ce2fb4e93b5b9d8e0e75bc0,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
