candidate_id,source_catalogue_row,canonical_name,variant,task_family,source_locator,source_ref,code_license,weights_license,lifecycle,disposition,reason_code,evidence_level,resource_profile,last_reviewed,notes
source:M001,Model_Candidates!2,AET,,,https://github.com/OneBugMaker/AET,,,,DISCOVERED,,NONE,,,,
source:M002,Model_Candidates!3,DDDG,,,https://github.com/GuoweiaaZhang/DDDG,,,,DISCOVERED,,NONE,,,,
source:M003,Model_Candidates!4,Dasheng,,,https://github.com/yucongzh/SIREN,,,,DISCOVERED,,NONE,,,,
source:M004,Model_Candidates!5,EAT,,,https://github.com/yucongzh/SIREN,,,,DISCOVERED,,NONE,,,,
source:M005,Model_Candidates!6,FDDG,,,https://github.com/CHAOZHAO-1/FDDG,,,,DISCOVERED,,NONE,,,,
source:M006,Model_Candidates!7,HSE,,,https://github.com/PHMbench/PHM-Vibench,,,,DISCOVERED,,NONE,,,,
source:M007,Model_Candidates!8,ISFM,,,https://github.com/PHMbench/PHM-Vibench,,,,DISCOVERED,,NONE,,,,
source:M008,Model_Candidates!9,RoleConstrainedMoE,,,https://github.com/PHMbench/PHM-Vibench,,,,DISCOVERED,,NONE,,,,
source:M009,Model_Candidates!10,XOANOperatorPath,,,https://github.com/PHMbench/PHM-Vibench,,,,DISCOVERED,,NONE,,,,
source:M010,Model_Candidates!11,ConvTimeNet,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M011,Model_Candidates!12,MLP4TSC,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M012,Model_Candidates!13,MambaSL,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M013,Model_Candidates!14,Medformer,,,https://github.com/DL4mHealth/Medformer,,,,DISCOVERED,,NONE,,,,
source:M014,Model_Candidates!15,TSCMamba,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M015,Model_Candidates!16,TimeDART,,,https://github.com/ustc-time-series/TimeDART,,,,DISCOVERED,,NONE,,,,
source:M016,Model_Candidates!17,ModernTCN,classification,classification_supervised,https://github.com/luodhhh/ModernTCN,56a9a2c018385cd5acef015378cae7f084d1b11c,MIT,,AUDITED,,NONE,E0,dependency-light source audit; current implementation not admitted,2026-09-21,Not selected first: strong modern convolution role overlaps existing TCN/ResNet; requires G2 and E2 before queue.
source:M017,Model_Candidates!18,SegRNN,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M018,Model_Candidates!19,TEFN,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M019,Model_Candidates!20,TSLANet,classification,classification_supervised,https://github.com/emadeldeen24/TSLANet,ca0e88416d3ae49fd50e399c44ae94868378a94d,MIT,,AUDITED,,NONE,E0,upstream classification code uses timm/lightning; native dependency plan required,2026-09-21,"Spectral/interactive-convolution role is distinct, but first-pilot fidelity and maintenance burden exceed TimesNet."
source:M020,Model_Candidates!21,TimeFilter,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M021,Model_Candidates!22,TimeMixer,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M022,Model_Candidates!23,iTransformer,classification_candidate,classification_supervised,https://github.com/thuml/iTransformer,c2426e68ca13f74aaec08045c5c724d8ad328124,MIT,,AUDITED,,EVIDENCE_INSUFFICIENT,E0_BLOCKED,official main is forecasting-only,2026-09-21,Official main source does not define classification; exact classification variant/source must be frozen before E0 can pass.
source:M023,Model_Candidates!24,ATFNet,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M024,Model_Candidates!25,Bi-Mamba+,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M025,Model_Candidates!26,CARD,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M026,Model_Candidates!27,CATS,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M027,Model_Candidates!28,CycleNet,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M028,Model_Candidates!29,DUET,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M029,Model_Candidates!30,ElasTST,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M030,Model_Candidates!31,FITS,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M031,Model_Candidates!32,FilterNet,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M032,Model_Candidates!33,Fredformer,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M033,Model_Candidates!34,GLAFF,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M034,Model_Candidates!35,HDMixer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M035,Model_Candidates!36,MSGNet,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M036,Model_Candidates!37,MixLinear,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M037,Model_Candidates!38,MultiPatchFormer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M038,Model_Candidates!39,PAttn,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M039,Model_Candidates!40,PDF,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M040,Model_Candidates!41,PETformer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M041,Model_Candidates!42,PatchMLP,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M042,Model_Candidates!43,Pathformer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M043,Model_Candidates!44,S-D-Mamba,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M044,Model_Candidates!45,SOFTS,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M045,Model_Candidates!46,SimpleTM,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M046,Model_Candidates!47,SparseTSF,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M047,Model_Candidates!48,Sumba,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M048,Model_Candidates!49,TKAN,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M049,Model_Candidates!50,Time-LLM,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M050,Model_Candidates!51,TimeBridge,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M051,Model_Candidates!52,TimeDistill,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M052,Model_Candidates!53,TimeFlow,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M053,Model_Candidates!54,TimeKAN,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M054,Model_Candidates!55,TimeMixer++,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M055,Model_Candidates!56,TimeMosaic,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M056,Model_Candidates!57,TimeXer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M057,Model_Candidates!58,UMixer,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M058,Model_Candidates!59,WPMixer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M059,Model_Candidates!60,Zeus,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M060,Model_Candidates!61,xPatch,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M061,Model_Candidates!62,COUTA,,,https://github.com/xuhongzuo/couta,,,,DISCOVERED,,NONE,,,,
source:M062,Model_Candidates!63,KANAD,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M063,Model_Candidates!64,PatchwiseAD,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M064,Model_Candidates!65,STEN,,,https://github.com/mala-lab/STEN,,,,DISCOVERED,,NONE,,,,
source:M065,Model_Candidates!66,TSAD-C,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M066,Model_Candidates!67,TimeVQVAE-AD,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M067,Model_Candidates!68,TriP-LLM,,,https://github.com/YYZStart/TriP-LLM,,,,DISCOVERED,,NONE,,,,
source:M068,Model_Candidates!69,Glocal-IB,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M069,Model_Candidates!70,HELIX,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M070,Model_Candidates!71,ImputeFormer,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M071,Model_Candidates!72,MissTSM,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M072,Model_Candidates!73,MoTM,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M073,Model_Candidates!74,TOTEM,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M074,Model_Candidates!75,FISHER,,,https://github.com/jianganbai/FISHER,,,,DISCOVERED,,NONE,,,,
source:M075,Model_Candidates!76,Time-RCD,,,https://github.com/thu-sail-lab/Time-RCD,,,,DISCOVERED,,NONE,,,,
source:M076,Model_Candidates!77,VLT,,,https://github.com/Dolphin-wang/VLT,,,,DISCOVERED,,NONE,,,,
source:M077,Model_Candidates!78,Chronos,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M078,Model_Candidates!79,Chronos-2,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M079,Model_Candidates!80,Chronos-Bolt,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M080,Model_Candidates!81,Cisco Time Series Model,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M081,Model_Candidates!82,ForecastPFN,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M082,Model_Candidates!83,Lag-Llama,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M083,Model_Candidates!84,MOIRAI,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M084,Model_Candidates!85,MOIRAI 2.0,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M085,Model_Candidates!86,MOIRAI-MoE,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M086,Model_Candidates!87,MOMENT,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M087,Model_Candidates!88,Mamba4Cast,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M088,Model_Candidates!89,Sundial,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M089,Model_Candidates!90,TabPFN-TS,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M090,Model_Candidates!91,TiRex,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M091,Model_Candidates!92,Time-MoE,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M092,Model_Candidates!93,TimeGPT,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M093,Model_Candidates!94,Timer,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M094,Model_Candidates!95,Timer-XL,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M095,Model_Candidates!96,TimesFM,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M096,Model_Candidates!97,Tiny Time Mixer (TTM),,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M097,Model_Candidates!98,Toto,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M098,Model_Candidates!99,UniTS,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M099,Model_Candidates!100,DFDGCN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M100,Model_Candidates!101,PatchSTG,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M101,Model_Candidates!102,STDMAE,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M102,Model_Candidates!103,STPGNN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M103,Model_Candidates!104,BigST,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M104,Model_Candidates!105,HimNet,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M105,Model_Candidates!106,STDN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M106,Model_Candidates!107,AudioMAE,,,https://github.com/yucongzh/SIREN,,,,DISCOVERED,,NONE,,,,
source:M107,Model_Candidates!108,BEATs,,,https://github.com/yucongzh/SIREN,,,,DISCOVERED,,NONE,,,,
source:M108,Model_Candidates!109,MAE-AST,,,https://github.com/yucongzh/SIREN,,,,DISCOVERED,,NONE,,,,
source:M109,Model_Candidates!110,CoST,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M110,Model_Candidates!111,Hydra,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M111,Model_Candidates!112,InceptionTime,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M112,Model_Candidates!113,MiniRocket,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M113,Model_Candidates!114,MultiRocket,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M114,Model_Candidates!115,ROCKET,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M115,Model_Candidates!116,SimMTM,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M116,Model_Candidates!117,SoftCLT,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M117,Model_Candidates!118,TF-C,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M118,Model_Candidates!119,TS-TCC,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M119,Model_Candidates!120,TS2Vec,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M120,Model_Candidates!121,Ti-MAE,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M121,Model_Candidates!122,TimesURL,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M122,Model_Candidates!123,Anomaly Transformer,,,https://github.com/xuhongzuo/DeepOD,,,,DISCOVERED,,NONE,,,,
source:M123,Model_Candidates!124,AnomalyBERT,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M124,Model_Candidates!125,DCdetector,,,https://github.com/xuhongzuo/DeepOD,,,,DISCOVERED,,NONE,,,,
source:M125,Model_Candidates!126,DeepSAD-TS,,,https://github.com/xuhongzuo/DeepOD,,,,DISCOVERED,,NONE,,,,
source:M126,Model_Candidates!127,DeepSVDD-TS,,,https://github.com/xuhongzuo/DeepOD,,,,DISCOVERED,,NONE,,,,
source:M127,Model_Candidates!128,DevNet-TS,,,https://github.com/xuhongzuo/DeepOD,,,,DISCOVERED,,NONE,,,,
source:M128,Model_Candidates!129,GDN,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M129,Model_Candidates!130,InterFusion,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M130,Model_Candidates!131,MTAD-GAT,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M131,Model_Candidates!132,NCAD,,,https://github.com/xuhongzuo/DeepOD,,,,DISCOVERED,,NONE,,,,
source:M132,Model_Candidates!133,OmniAnomaly,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M133,Model_Candidates!134,PReNet-TS,,,https://github.com/xuhongzuo/DeepOD,,,,DISCOVERED,,NONE,,,,
source:M134,Model_Candidates!135,TranAD,,,https://github.com/xuhongzuo/DeepOD,,,,DISCOVERED,,NONE,,,,
source:M135,Model_Candidates!136,USAD,,,https://github.com/xuhongzuo/DeepOD,,,,DISCOVERED,,NONE,,,,
source:M136,Model_Candidates!137,BRITS,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M137,Model_Candidates!138,CRLI,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M138,Model_Candidates!139,CSDI,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M139,Model_Candidates!140,D3VAE,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M140,Model_Candidates!141,Diffusion-TS,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M141,Model_Candidates!142,GP-VAE,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M142,Model_Candidates!143,GRU-D,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M143,Model_Candidates!144,PriSTI,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M144,Model_Candidates!145,Raindrop,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M145,Model_Candidates!146,SAITS,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M146,Model_Candidates!147,SSSD,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M147,Model_Candidates!148,TSDiff,,,https://github.com/microsoft/ProbTS,,,,DISCOVERED,,NONE,,,,
source:M148,Model_Candidates!149,TimeVQVAE,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M149,Model_Candidates!150,US-GAN,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M150,Model_Candidates!151,VaDER,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
