arm,seed,role,stage,status,measurement_status,seconds,timer_field,time_boundary,trainable_parameters,direct_parameters,reference_parameters,stored_parameters,optimizer_steps,peak_allocated_gpu_bytes,label_pool,groups,acquisitions,windows,labelled_acquisitions,exit_status,benchmark_commit,reason,run_directory,artifact
p0,42,reference,fit,completed,measured,11.573788720939774,training_seconds,training loop including forward/backward/update,5305,5305,,5305,1000,74231296,source_fit,15,900,1800,900,0,4f87b5b60ecc9bf13ebbfa632e690038d75b0742,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference/result_scope.json
p0,42,reference,source_selection,completed,measured,16.96649728307966,selection_seconds,per-epoch source-validation evaluation and checkpoint score,5305,5305,,5305,1000,74231296,source_selection,5,300,600,300,0,4f87b5b60ecc9bf13ebbfa632e690038d75b0742,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference/result_scope.json
p0,42,reference,export,completed,measured,0.027953439042903483,export_seconds,selected checkpoint/validation artifact writes,5305,5305,,5305,1000,74231296,,,,,,0,4f87b5b60ecc9bf13ebbfa632e690038d75b0742,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference/result_scope.json
p0,42,reference,source_materialization,completed,missing,,source_materialization_seconds,source waveform read and deterministic windows,5305,5305,,5305,1000,74231296,,,,,,0,4f87b5b60ecc9bf13ebbfa632e690038d75b0742,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference/result_scope.json
p0,42,reference,process,completed,missing,,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,5305,5305,,5305,1000,74231296,,,,,,0,4f87b5b60ecc9bf13ebbfa632e690038d75b0742,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference/execution_status.json
p0,42,reference,filesystem_observed_interval,completed,filesystem_interval_not_process_timer,89.21602672,filesystem_observed_interval_seconds,"attempt_logs directory mtime when stdout/stderr were created to final result_scope.json mtime; includes startup and source I/O, not a monotonic-process timer",5305,5305,,5305,1000,74231296,,,,,,0,4f87b5b60ecc9bf13ebbfa632e690038d75b0742,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/reference/execution_status.json
MLP16,42,core,fit,completed,measured,43.589253041893244,training_seconds,training loop including forward/backward/update,643,5948,5305,5948,1000,65169408,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/result_scope.json
MLP16,42,core,source_selection,completed,measured,19.67182156292256,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,643,5948,5305,5948,1000,65169408,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/result_scope.json
MLP16,42,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,643,5948,5305,5948,1000,65169408,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/result_scope.json
MLP16,42,core,source_materialization,completed,measured,4.732724428002257,source_materialization_seconds,source waveform read and deterministic windows,643,5948,5305,5948,1000,65169408,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/result_scope.json
MLP16,42,core,process,completed,measured,82.69630146102281,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,643,5948,5305,5948,1000,65169408,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/execution_status.json
MLP16,123,core,fit,completed,measured,62.34146078315098,training_seconds,training loop including forward/backward/update,643,5948,5305,5948,1000,65169408,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/result_scope.json
MLP16,123,core,source_selection,completed,measured,32.797922032070346,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,643,5948,5305,5948,1000,65169408,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/result_scope.json
MLP16,123,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,643,5948,5305,5948,1000,65169408,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/result_scope.json
MLP16,123,core,source_materialization,completed,measured,4.558150309021585,source_materialization_seconds,source waveform read and deterministic windows,643,5948,5305,5948,1000,65169408,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/result_scope.json
MLP16,123,core,process,completed,measured,114.04163582302863,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,643,5948,5305,5948,1000,65169408,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/execution_status.json
MLP16,456,core,fit,completed,measured,60.781464884988964,training_seconds,training loop including forward/backward/update,643,5948,5305,5948,1000,65169408,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456/result_scope.json
MLP16,456,core,source_selection,completed,measured,31.119883353065234,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,643,5948,5305,5948,1000,65169408,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456/result_scope.json
MLP16,456,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,643,5948,5305,5948,1000,65169408,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456/result_scope.json
MLP16,456,core,source_materialization,completed,measured,4.731224966002628,source_materialization_seconds,source waveform read and deterministic windows,643,5948,5305,5948,1000,65169408,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456/result_scope.json
MLP16,456,core,process,completed,measured,112.43585328600602,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,643,5948,5305,5948,1000,65169408,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456/execution_status.json
O,42,core,fit,completed,measured,64.64996789698489,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70702080,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42/result_scope.json
O,42,core,source_selection,completed,measured,52.14235438796459,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70702080,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42/result_scope.json
O,42,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,937,6242,5305,6242,1000,70702080,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42/result_scope.json
O,42,core,source_materialization,completed,measured,4.450727101997472,source_materialization_seconds,source waveform read and deterministic windows,937,6242,5305,6242,1000,70702080,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42/result_scope.json
O,42,core,process,completed,measured,137.07041104097152,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,937,6242,5305,6242,1000,70702080,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_42/execution_status.json
O,123,core,fit,completed,measured,80.369081627985,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70702080,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123/result_scope.json
O,123,core,source_selection,completed,measured,61.735227135999594,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70702080,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123/result_scope.json
O,123,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,937,6242,5305,6242,1000,70702080,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123/result_scope.json
O,123,core,source_materialization,completed,measured,4.369426136021502,source_materialization_seconds,source waveform read and deterministic windows,937,6242,5305,6242,1000,70702080,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123/result_scope.json
O,123,core,process,completed,measured,161.07482824200997,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,937,6242,5305,6242,1000,70702080,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_123/execution_status.json
O,456,core,fit,completed,measured,82.98826486879261,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70702080,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456/result_scope.json
O,456,core,source_selection,completed,measured,65.4545956737129,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70702080,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456/result_scope.json
O,456,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,937,6242,5305,6242,1000,70702080,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456/result_scope.json
O,456,core,source_materialization,completed,measured,4.596086245961487,source_materialization_seconds,source waveform read and deterministic windows,937,6242,5305,6242,1000,70702080,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456/result_scope.json
O,456,core,process,completed,measured,168.8593241549679,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,937,6242,5305,6242,1000,70702080,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/O/seed_456/execution_status.json
UO,42,core,fit,completed,measured,70.8803148388397,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70707712,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42/result_scope.json
UO,42,core,source_selection,completed,measured,61.384148497949354,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70707712,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42/result_scope.json
UO,42,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,937,6242,5305,6242,1000,70707712,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42/result_scope.json
UO,42,core,source_materialization,completed,measured,5.713752873998601,source_materialization_seconds,source waveform read and deterministic windows,937,6242,5305,6242,1000,70707712,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42/result_scope.json
