arm,seed,role,path,measurement_status,median_ms,q1_ms,q3_ms,iqr_ms,peak_allocated_bytes,executed_parameters,total_loaded_parameters,device,gpu,dtype,input_shape,warmup,repeats,domain,split,io_boundary,deployment_kind,alpha,bundle,artifact
MLP16,42,source_selected,p0,measured,1.1449985031504184,1.0358165309298784,1.2271362647879869,0.19131973385810852,10452992,5305,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,0.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed42_source_selected.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed42_source_selected/latency.json
MLP16,42,source_selected,direct_q,measured,1.5756769862491637,1.4642897731391713,1.6942605143412948,0.22997074120212346,10452992,5948,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,0.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed42_source_selected.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed42_source_selected/latency.json
MLP16,42,source_selected,deployed,measured,1.0382144828327,0.9997854940593243,1.1480760149424896,0.1482905208831653,10452992,5305,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,0.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed42_source_selected.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed42_source_selected/latency.json
MLP16,123,direct,p0,measured,0.953282491536811,0.9022842859849334,1.044580727466382,0.1422964414814487,10452992,5305,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed_123.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed_123/latency.json
MLP16,123,direct,direct_q,measured,1.3867240049876273,1.2660347274504602,1.407942982041277,0.1419082545908168,10452992,5948,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed_123.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed_123/latency.json
MLP16,123,direct,deployed,measured,1.6029014950618148,1.5414202498504892,1.6795712290331721,0.13815097918268293,10452992,5948,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed_123.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed_123/latency.json
MLP16,42,direct,p0,measured,1.0289589990861714,0.9558134916005656,1.037251524394378,0.08143803279381245,10452992,5305,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed_42.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed_42/latency.json
MLP16,42,direct,direct_q,measured,1.3819294690620154,1.2807125021936372,1.3901395141147077,0.10942701192107052,10452992,5948,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed_42.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed_42/latency.json
MLP16,42,direct,deployed,measured,1.6343499883078039,1.625082004466094,1.6491877613589168,0.024105756892822683,10452992,5948,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed_42.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed_42/latency.json
MLP16,456,direct,p0,measured,0.9679649956524372,0.9488132782280445,1.0903380170930177,0.1415247388649732,10452992,5305,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed_456.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed_456/latency.json
MLP16,456,direct,direct_q,measured,1.324348006164655,1.3052554859314114,1.3888127577956766,0.0835572718642652,10452992,5948,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed_456.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed_456/latency.json
MLP16,456,direct,deployed,measured,1.6263575234916061,1.6077032778412104,1.6722614673199132,0.06455818947870284,10452992,5948,5948,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/MLP16_seed_456.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/MLP16_seed_456/latency.json
O,42,source_selected,p0,measured,1.098579989047721,0.9828030015341938,1.4712520060129464,0.4884490044787526,10500096,5305,6242,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,0.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/O_seed42_source_selected.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/O_seed42_source_selected/latency.json
O,42,source_selected,direct_q,measured,5.93228152138181,5.815310767502524,6.06854101351928,0.2532302460167557,10500096,6242,6242,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,0.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/O_seed42_source_selected.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/O_seed42_source_selected/latency.json
O,42,source_selected,deployed,measured,1.0425445216242224,0.9728145087137818,1.0974795004585758,0.12466499174479395,10500096,5305,6242,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,0.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/O_seed42_source_selected.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/O_seed42_source_selected/latency.json
O,123,direct,p0,measured,1.0280070127919316,1.0167000000365078,1.0335265251342207,0.016826525097712874,10500096,5305,6242,physical GPU0 / cuda:0,NVIDIA GeForce RTX 4090,torch.float32,"[1, 8192, 1]",20,100,2,validation,input already on GPU; excludes construction/checkpoint/data I/O,model,1.0,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/frozen/bundles/O_seed_123.pt,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/latency/O_seed_123/latency.json
