arm,seed,role,branch,feature_dim,input_weight_parameters,metric,unit,mean,median,n,n_missing,n_batches,sampled_window_visits,measurement_status,derivation,summary_scope,artifact
MLP16,42,core,reference,36,576,mean_scaled_squared_norm,scaled feature units squared,0.029869498625397683,0.026306435465812683,1000,0,1000,12000,recorded,recorded within-batch mean of ||z/sqrt(d)||^2,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_features.csv
MLP16,42,core,reference,36,576,mean_unscaled_squared_norm,native feature units squared,1.0753019505143167,0.9470316767692566,1000,0,1000,12000,recorded,d times recorded mean_scaled_squared_norm,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_features.csv
MLP16,42,core,reference,36,576,median_scaled_norm,scaled feature units,0.11706644240021706,0.11272041499614716,1000,0,1000,12000,recorded,recorded within-batch median of ||z/sqrt(d)||; not pooled-window median,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_features.csv
MLP16,42,core,reference,36,576,median_unscaled_norm,native feature units,0.7023986544013023,0.6763224899768829,1000,0,1000,12000,recorded,sqrt(d) times recorded median_scaled_norm; not pooled-window median,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_features.csv
MLP16,42,core,reference,36,576,input_weight_gradient_norm,loss per native parameter coordinate,0.012839229206612799,0.011267625261098146,1000,0,1000,12000,recorded,raw first-readout parameter gradient Frobenius norm; MLP input-column block,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_features.csv
MLP16,42,core,reference,36,576,raw_input_weight_norm,native weight coordinates,4.89334339427948,4.886445045471191,1000,0,1000,12000,recorded,raw first-readout input-column-block Frobenius norm,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_features.csv
MLP16,42,core,reference,36,576,effective_input_weight_norm,native weight coordinates,2.236068017244339,2.2360680103302,1000,0,1000,12000,recorded,effective capped first-readout input-column-block Frobenius norm,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_features.csv
MLP16,42,core,reference,36,576,effective_output_weight_norm,native weight coordinates,1.5248527568727732,1.7007311582565308,1000,0,1000,12000,recorded,whole effective output matrix norm; repeated across branch rows,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_features.csv
MLP16,123,core,reference,36,576,mean_scaled_squared_norm,scaled feature units squared,0.02910477677732706,0.024302472360432148,1000,0,1000,12000,recorded,recorded within-batch mean of ||z/sqrt(d)||^2,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_features.csv
MLP16,123,core,reference,36,576,mean_unscaled_squared_norm,native feature units squared,1.0477719639837741,0.8748890049755573,1000,0,1000,12000,recorded,d times recorded mean_scaled_squared_norm,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_features.csv
MLP16,123,core,reference,36,576,median_scaled_norm,scaled feature units,0.11672324199974538,0.11249158903956413,1000,0,1000,12000,recorded,recorded within-batch median of ||z/sqrt(d)||; not pooled-window median,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_features.csv
MLP16,123,core,reference,36,576,median_unscaled_norm,native feature units,0.7003394519984723,0.6749495342373848,1000,0,1000,12000,recorded,sqrt(d) times recorded median_scaled_norm; not pooled-window median,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_features.csv
MLP16,123,core,reference,36,576,input_weight_gradient_norm,loss per native parameter coordinate,0.012981898748810635,0.011445479933172464,1000,0,1000,12000,recorded,raw first-readout parameter gradient Frobenius norm; MLP input-column block,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_features.csv
MLP16,123,core,reference,36,576,raw_input_weight_norm,native weight coordinates,4.845669926643372,4.74378776550293,1000,0,1000,12000,recorded,raw first-readout input-column-block Frobenius norm,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_features.csv
MLP16,123,core,reference,36,576,effective_input_weight_norm,native weight coordinates,2.2360680174827574,2.2360680103302,1000,0,1000,12000,recorded,effective capped first-readout input-column-block Frobenius norm,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_features.csv
MLP16,123,core,reference,36,576,effective_output_weight_norm,native weight coordinates,1.5357470407634974,1.7100828289985657,1000,0,1000,12000,recorded,whole effective output matrix norm; repeated across branch rows,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_features.csv
MLP16,456,core,reference,36,576,mean_scaled_squared_norm,scaled feature units squared,0.030009630120825023,0.026062960736453533,1000,0,1000,12000,recorded,recorded within-batch mean of ||z/sqrt(d)||^2,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456/training_features.csv
MLP16,456,core,reference,36,576,mean_unscaled_squared_norm,native feature units squared,1.0803466843497007,0.9382665865123272,1000,0,1000,12000,recorded,d times recorded mean_scaled_squared_norm,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456/training_features.csv
MLP16,456,core,reference,36,576,median_scaled_norm,scaled feature units,0.11721337546408177,0.11299493163824081,1000,0,1000,12000,recorded,recorded within-batch median of ||z/sqrt(d)||; not pooled-window median,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456/training_features.csv
MLP16,456,core,reference,36,576,median_unscaled_norm,native feature units,0.7032802527844906,0.6779695898294449,1000,0,1000,12000,recorded,sqrt(d) times recorded median_scaled_norm; not pooled-window median,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_456/training_features.csv
