arm,seed,role,family,domain,domain_i,domain_j,metric,component,unit,mean,median,n,n_missing,n_batches,measurement_status,risk_reference,consistency_target,summary_scope,artifact
MLP16,42,core,domain_risk,0,,,candidate_risk,,CE + beta Brier,1.1278831240534783,1.11094069480896,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,0,,,reference_risk,,CE + beta Brier,0.8953840225636959,0.8944948315620422,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,0,,,excess,,CE + beta Brier,0.23249910383298994,0.20874902606010437,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,0,,,weight,,dimensionless,0.3333333432674408,0.3333333432674408,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,2,,,candidate_risk,,CE + beta Brier,1.1392395957708359,1.1247627139091492,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,2,,,reference_risk,,CE + beta Brier,0.9028331097364426,0.8912161290645599,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,2,,,excess,,CE + beta Brier,0.23640649016201495,0.23302525281906128,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,2,,,weight,,dimensionless,0.3333333432674408,0.3333333432674408,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,3,,,candidate_risk,,CE + beta Brier,1.144830447435379,1.1302964687347412,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,3,,,reference_risk,,CE + beta Brier,0.9222612332701683,0.8979472815990448,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,3,,,excess,,CE + beta Brier,0.22256921521574258,0.192909374833107,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,domain_risk,3,,,weight,,dimensionless,0.3333333432674408,0.3333333432674408,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_domains.csv
MLP16,42,core,reference_prior,,0,2,reference_risk_difference_over_rho,,dimensionless (c_i-c_j)/rho,-0.029796348690986633,-0.0015954971313476562,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_reference_prior.csv
MLP16,42,core,reference_prior,,0,3,reference_risk_difference_over_rho,,dimensionless (c_i-c_j)/rho,-0.10750884282588959,-0.06258046627044678,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_reference_prior.csv
MLP16,42,core,reference_prior,,2,3,reference_risk_difference_over_rho,,dimensionless (c_i-c_j)/rho,-0.07771249413490296,-0.056083083152770996,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_reference_prior.csv
MLP16,42,core,response,0,,,A,,squared probability L2 norm,0.08394149953313172,0.07707469910383224,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,b,,probability inner product,-0.01324776859395206,-0.0012980066239833832,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,sqrt_A,,probability L2 norm,0.28310121082582984,0.277623285559065,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,b_over_sqrt_A,,signed probability direction; undefined when A=0,-0.028879730715653733,-0.0048579953673261195,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_p0_squared_norm,,squared probability L2 norm,7.673261025556929e-14,5.007420259689477e-14,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_q_squared_norm,,squared probability L2 norm,1.1853851233922796e-15,8.881784197001252e-16,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_v_squared_norm,,squared probability L2 norm,7.319147805190384e-14,4.947431353485854e-14,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_p0_mean_vector,0,signed probability; frozen class-order index,4.395297310111346e-09,2.546585164964199e-09,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_p0_mean_vector,1,signed probability; frozen class-order index,-1.3206154108047485e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_p0_mean_vector,2,signed probability; frozen class-order index,1.5795230865478515e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_q_mean_vector,0,signed probability; frozen class-order index,4.163011908531189e-10,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_q_mean_vector,1,signed probability; frozen class-order index,-1.2218952178955079e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_q_mean_vector,2,signed probability; frozen class-order index,-2.905726432800293e-10,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_v_mean_vector,0,signed probability; frozen class-order index,-4.098284989595413e-09,-3.259629011154175e-09,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_v_mean_vector,1,signed probability; frozen class-order index,8.568167686462402e-11,3.725290298461914e-09,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,0,,,delta_v_mean_vector,2,signed probability; frozen class-order index,-1.870095729827881e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,A,,squared probability L2 norm,0.0842991629531607,0.0765136256814003,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,b,,probability inner product,-0.014868787867948412,-0.011348282918334007,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,sqrt_A,,probability L2 norm,0.2835225336344545,0.276610963612418,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
