name,arm,seed,split,role,alpha,predictor,scope,A,b,sqrt_A,b_over_sqrt_A,alpha_sqrt_A,repair,damage,prediction_change_rate
MLP16_seed_42,MLP16,42,validation,direct,1.0,raw,condition:0,0.10056740448129686,0.003124553757908227,0.317123642261653,0.009852793489708389,0.317123642261653,0.0,0.0,0.0
MLP16_seed_42,MLP16,42,validation,direct,1.0,raw,condition:2,0.09721099532095243,0.006897755552588125,0.31178677861794013,0.02212330998499636,0.31178677861794013,0.0,0.0,0.0
MLP16_seed_42,MLP16,42,validation,direct,1.0,raw,condition:3,0.1023975661567732,0.0041069148504237155,0.31999619709736116,0.012834261430844932,0.31999619709736116,0.0,0.0,0.0
MLP16_seed_42,MLP16,42,validation,direct,1.0,raw,source,0.10005865531967417,0.004709741386973355,0.3163204946247937,0.01488914397582697,0.3163204946247937,0.0,0.0,0.0
MLP16_seed_42,MLP16,42,validation,direct,1.0,candidate,condition:0,0.10056740448129686,0.003124553757908227,0.317123642261653,0.009852793489708389,0.317123642261653,0.2,0.4,0.6
MLP16_seed_42,MLP16,42,validation,direct,1.0,candidate,condition:2,0.09721099532095243,0.006897755552588125,0.31178677861794013,0.02212330998499636,0.31178677861794013,0.2,0.4,0.6
MLP16_seed_42,MLP16,42,validation,direct,1.0,candidate,condition:3,0.1023975661567732,0.0041069148504237155,0.31999619709736116,0.012834261430844932,0.31999619709736116,0.2,0.4,0.6
MLP16_seed_42,MLP16,42,validation,direct,1.0,candidate,source,0.10005865531967417,0.004709741386973355,0.3163204946247937,0.01488914397582697,0.3163204946247937,0.20000000000000004,0.4000000000000001,0.6
MLP16_seed_42,MLP16,42,validation,direct,1.0,deployed,condition:0,0.10056740448129686,0.003124553757908227,0.317123642261653,0.009852793489708389,0.317123642261653,0.2,0.4,0.6
MLP16_seed_42,MLP16,42,validation,direct,1.0,deployed,condition:2,0.09721099532095243,0.006897755552588125,0.31178677861794013,0.02212330998499636,0.31178677861794013,0.2,0.4,0.6
MLP16_seed_42,MLP16,42,validation,direct,1.0,deployed,condition:3,0.1023975661567732,0.0041069148504237155,0.31999619709736116,0.012834261430844932,0.31999619709736116,0.2,0.4,0.6
