split,scope,groups,post_hoc,interval_scope,source_in_sample,bootstrap_repeats,analysis_seed,name,arm,seed,predictor,metric,value,lower,upper,seed_sd
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,q,ce,0.8729446635022761,0.3488147632032633,1.5782268345355988,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,q,brier,0.5282528904518441,0.1770684177029495,0.9175080943397065,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,q,accuracy,0.6,0.2,1.0,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,q,macro_f1,0.4333333333333333,0.1111111111111111,0.6666666666666666,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,m_q,ce,1.1958460527742916,0.728273950250923,2.0984910270253896,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,m_q,brier,0.674202370292871,0.48860295643321267,1.0145257199531348,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,m_q,accuracy,0.4,0.0,0.8,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,m_q,macro_f1,0.19047619047619047,0.0,0.29629629629629634,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,pi_S,ce,1.054920167986143,0.9162907318741533,1.3321790402101226,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,pi_S,brier,0.6400000000000002,0.5599999999999998,0.8000000000000007,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,pi_S,accuracy,0.4,0.0,0.8,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,p0,p0,fixed/reference,pi_S,macro_f1,0.19047619047619047,0.0,0.29629629629629634,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,q,ce,1.0251737856864929,0.7765656414628029,1.333085898756981,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,q,brier,0.6225711874173246,0.4712851470734961,0.8027079256961226,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,q,accuracy,0.4,0.0,0.8,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,q,macro_f1,0.19047619047619047,0.0,0.29629629629629634,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,m_q,ce,1.056702419189512,0.8729124607943064,1.3460426400806227,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,m_q,brier,0.6414132588217805,0.5268881977011907,0.807559968780493,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,m_q,accuracy,0.4,0.0,0.8,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,m_q,macro_f1,0.19047619047619047,0.0,0.29629629629629634,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,pi_S,ce,1.054920167986143,0.9162907318741533,1.3321790402101226,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,pi_S,brier,0.6400000000000002,0.5599999999999998,0.8000000000000007,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,MLP16_seed_42,MLP16,42,pi_S,accuracy,0.4,0.0,0.8,
