split,scope,groups,post_hoc,interval_scope,source_in_sample,bootstrap_repeats,analysis_seed,seed,term,value,lower,upper,seed_sd
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,Delta_pipe,-0.04469554564207956,-0.22608863477475288,0.1912210314973003,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,O_input,-0.06402225767070457,-0.28666860665065563,0.21882361175521592,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,MLP16_input,-0.018842071404455818,-0.07485365418142981,0.032396625283470204,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,mean_level,0.00048464062416919695,-0.03164280542441322,0.03303564767270639,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,residual,0.0,0.0,0.0,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,Delta_pipe,-0.04787217046611403,-0.18829888749055962,0.11464950993611533,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,O_input,-0.06436645592282042,-0.2289212342079346,0.13766325082610886,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,MLP16_input,-0.014589327982146072,-0.055448488270362264,0.029239169944341725,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,mean_level,0.0019049574745603204,-0.02014380062119059,0.03441305185734267,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,residual,0.0,0.0,0.0,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,456,Delta_pipe,-0.05689027854820572,-0.2045848458197984,0.14271204066682386,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,456,O_input,-0.07083807319597524,-0.24578147621776342,0.13920596700510401,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,456,MLP16_input,-0.011869081858523645,-0.05249045589097476,0.031153622061924624,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,456,mean_level,0.0020787127892458734,-0.05405911116994622,0.05821653674843774,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,456,residual,0.0,0.0,0.0,
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,finite_mean_42_123_456,Delta_pipe,-0.049819331552133105,-0.20380280016865124,0.14704697989414353,0.006326251250473639
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,finite_mean_42_123_456,O_input,-0.06640892892983341,-0.25379043902545123,0.1687030975837949,0.0038396103066473644
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,finite_mean_42_123_456,MLP16_input,-0.015100160415041844,-0.06073667990947749,0.028572483051351183,0.0035144499047210084
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,finite_mean_42_123_456,mean_level,0.0014894369626584636,-0.03412215033885909,0.037101024264175976,0.0008745052822747536
validation,condition:0,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,finite_mean_42_123_456,residual,0.0,0.0,0.0,0.0
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,Delta_pipe,-0.040899092124866976,-0.21681973667704396,0.18081933196809896,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,O_input,-0.058176007737539503,-0.28242977318492185,0.2142353847949945,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,MLP16_input,-0.01679227498850333,-0.07269405843489996,0.03658262955411118,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,mean_level,0.00048464062416919695,-0.03164280542441322,0.03303564767270639,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,42,residual,0.0,0.0,0.0,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,Delta_pipe,-0.048161481898756575,-0.18301074342682278,0.10338695717444502,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,O_input,-0.0638784710932293,-0.2257377986080233,0.13096114073590814,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,MLP16_input,-0.01381203171991241,-0.056024800090373805,0.03241255888293404,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,mean_level,0.0019049574745603204,-0.02014380062119059,0.03441305185734267,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,123,residual,0.0,0.0,0.0,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,456,Delta_pipe,-0.05670465585866402,-0.20120529266498333,0.13355856980048386,
validation,condition:2,5,True,post-hoc descriptive; fixed predictors and source constants; no source-estimation uncertainty,True,2000,20260919,456,O_input,-0.07015358048347309,-0.24117866177536407,0.13536966159733832,
