run_id,goal_id,condition_id,model_condition,seed,target_domains,config_path,output_dir,c2_target_seed,pre_run_status,target_domain,observed_status,primary_metric_value,trainable_parameters,learned_forward_supported_flops,checkpoint_path,failure_or_invalid_reason
RUN-0029,C06,M1,M1,42,2|3,configs/experiments/p01/p01_c06_m1.yaml,results/p01/c06_m1_seed42,not_applicable,planned,2,succeeded,0.19047619047619047,19587,22823296,results/p01/c06_m1_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082453/iter_0/model-epoch=00-val_loss=1.8691.ckpt,
RUN-0029,C06,M1,M1,42,2|3,configs/experiments/p01/p01_c06_m1.yaml,results/p01/c06_m1_seed42,not_applicable,planned,3,succeeded,0.19047619047619047,19587,22823296,results/p01/c06_m1_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082453/iter_0/model-epoch=00-val_loss=1.8691.ckpt,
RUN-0030,C06,M2,M2,42,2|3,configs/experiments/p01/p01_c06_m2.yaml,results/p01/c06_m2_seed42,not_applicable,planned,2,succeeded,0.4444444444444444,27907,23168512,results/p01/c06_m2_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082516/iter_0/model-epoch=00-val_loss=1.4814.ckpt,
RUN-0030,C06,M2,M2,42,2|3,configs/experiments/p01/p01_c06_m2.yaml,results/p01/c06_m2_seed42,not_applicable,planned,3,succeeded,0.4444444444444444,27907,23168512,results/p01/c06_m2_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082516/iter_0/model-epoch=00-val_loss=1.4814.ckpt,
RUN-0031,C06,M3,M3,42,2|3,configs/experiments/p01/p01_c06_m3.yaml,results/p01/c06_m3_seed42,not_applicable,planned,2,succeeded,0.4444444444444444,47235,45991424,results/p01/c06_m3_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082541/iter_0/model-epoch=00-val_loss=1.6869.ckpt,
RUN-0031,C06,M3,M3,42,2|3,configs/experiments/p01/p01_c06_m3.yaml,results/p01/c06_m3_seed42,not_applicable,planned,3,succeeded,0.4444444444444444,47235,45991424,results/p01/c06_m3_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082541/iter_0/model-epoch=00-val_loss=1.6869.ckpt,
RUN-0032,C06,M4,M4,42,2|3,configs/experiments/p01/p01_c06_m4.yaml,results/p01/c06_m4_seed42,not_applicable,planned,2,succeeded,0.38888888888888884,49411,46004224,results/p01/c06_m4_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082607/iter_0/model-epoch=02-val_loss=1.7040.ckpt,
RUN-0032,C06,M4,M4,42,2|3,configs/experiments/p01/p01_c06_m4.yaml,results/p01/c06_m4_seed42,not_applicable,planned,3,succeeded,0.38888888888888884,49411,46004224,results/p01/c06_m4_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082607/iter_0/model-epoch=02-val_loss=1.7040.ckpt,
RUN-0033,C06,M5,M5,42,2|3,configs/experiments/p01/p01_c06_m5.yaml,results/p01/c06_m5_seed42,not_applicable,planned,2,succeeded,0.6555555555555556,47235,45991424,results/p01/c06_m5_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082638/iter_0/model-epoch=03-val_loss=1.8005.ckpt,
RUN-0033,C06,M5,M5,42,2|3,configs/experiments/p01/p01_c06_m5.yaml,results/p01/c06_m5_seed42,not_applicable,planned,3,succeeded,0.6555555555555556,47235,45991424,results/p01/c06_m5_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082638/iter_0/model-epoch=03-val_loss=1.8005.ckpt,
RUN-0034,C06,C1,M4,42,2|3,configs/experiments/p01/p01_c06_c1.yaml,results/p01/c06_c1_seed42,not_applicable,planned,2,succeeded,0.38888888888888884,49411,46004224,results/p01/c06_c1_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082717/iter_0/model-epoch=02-val_loss=1.7040.ckpt,
RUN-0034,C06,C1,M4,42,2|3,configs/experiments/p01/p01_c06_c1.yaml,results/p01/c06_c1_seed42,not_applicable,planned,3,succeeded,0.38888888888888884,49411,46004224,results/p01/c06_c1_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082717/iter_0/model-epoch=02-val_loss=1.7040.ckpt,
RUN-0035,C06,C2,M5,42,2|3,configs/experiments/p01/p01_c06_c2.yaml,results/p01/c06_c2_seed42,31042,planned,2,succeeded,0.4444444444444444,47235,45991424,results/p01/c06_c2_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082747/iter_0/model-epoch=00-val_loss=1.8455.ckpt,
RUN-0035,C06,C2,M5,42,2|3,configs/experiments/p01/p01_c06_c2.yaml,results/p01/c06_c2_seed42,31042,planned,3,succeeded,0.4444444444444444,47235,45991424,results/p01/c06_c2_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082747/iter_0/model-epoch=00-val_loss=1.8455.ckpt,
RUN-0036,C06,C3,C3,42,2|3,configs/experiments/p01/p01_c06_c3.yaml,results/p01/c06_c3_seed42,not_applicable,planned,2,succeeded,0.4444444444444444,55555,46336640,results/p01/c06_c3_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082830/iter_0/model-epoch=00-val_loss=1.5287.ckpt,
RUN-0036,C06,C3,C3,42,2|3,configs/experiments/p01/p01_c06_c3.yaml,results/p01/c06_c3_seed42,not_applicable,planned,3,succeeded,0.4444444444444444,55555,46336640,results/p01/c06_c3_seed42/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082830/iter_0/model-epoch=00-val_loss=1.5287.ckpt,
RUN-0037,C06,M1,M1,123,2|3,configs/experiments/p01/p01_c06_m1.yaml,results/p01/c06_m1_seed123,not_applicable,planned,2,succeeded,0.19047619047619047,19587,22823296,results/p01/c06_m1_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082901/iter_0/model-epoch=00-val_loss=2.0559.ckpt,
RUN-0037,C06,M1,M1,123,2|3,configs/experiments/p01/p01_c06_m1.yaml,results/p01/c06_m1_seed123,not_applicable,planned,3,succeeded,0.19047619047619047,19587,22823296,results/p01/c06_m1_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082901/iter_0/model-epoch=00-val_loss=2.0559.ckpt,
RUN-0038,C06,M2,M2,123,2|3,configs/experiments/p01/p01_c06_m2.yaml,results/p01/c06_m2_seed123,not_applicable,planned,2,succeeded,0.4444444444444444,27907,23168512,results/p01/c06_m2_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082928/iter_0/model-epoch=00-val_loss=1.0134.ckpt,
RUN-0038,C06,M2,M2,123,2|3,configs/experiments/p01/p01_c06_m2.yaml,results/p01/c06_m2_seed123,not_applicable,planned,3,succeeded,0.4444444444444444,27907,23168512,results/p01/c06_m2_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082928/iter_0/model-epoch=00-val_loss=1.0134.ckpt,
RUN-0039,C06,M3,M3,123,2|3,configs/experiments/p01/p01_c06_m3.yaml,results/p01/c06_m3_seed123,not_applicable,planned,2,succeeded,0.6555555555555556,47235,45991424,results/p01/c06_m3_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082953/iter_0/model-epoch=00-val_loss=1.7908.ckpt,
RUN-0039,C06,M3,M3,123,2|3,configs/experiments/p01/p01_c06_m3.yaml,results/p01/c06_m3_seed123,not_applicable,planned,3,succeeded,0.6555555555555556,47235,45991424,results/p01/c06_m3_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_082953/iter_0/model-epoch=00-val_loss=1.7908.ckpt,
RUN-0040,C06,M4,M4,123,2|3,configs/experiments/p01/p01_c06_m4.yaml,results/p01/c06_m4_seed123,not_applicable,planned,2,succeeded,0.6555555555555556,49411,46004224,results/p01/c06_m4_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083028/iter_0/model-epoch=00-val_loss=2.0299.ckpt,
RUN-0040,C06,M4,M4,123,2|3,configs/experiments/p01/p01_c06_m4.yaml,results/p01/c06_m4_seed123,not_applicable,planned,3,succeeded,0.6555555555555556,49411,46004224,results/p01/c06_m4_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083028/iter_0/model-epoch=00-val_loss=2.0299.ckpt,
RUN-0041,C06,M5,M5,123,2|3,configs/experiments/p01/p01_c06_m5.yaml,results/p01/c06_m5_seed123,not_applicable,planned,2,succeeded,0.4444444444444444,47235,45991424,results/p01/c06_m5_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083058/iter_0/model-epoch=00-val_loss=2.1509.ckpt,
RUN-0041,C06,M5,M5,123,2|3,configs/experiments/p01/p01_c06_m5.yaml,results/p01/c06_m5_seed123,not_applicable,planned,3,succeeded,0.4444444444444444,47235,45991424,results/p01/c06_m5_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083058/iter_0/model-epoch=00-val_loss=2.1509.ckpt,
RUN-0042,C06,C1,M4,123,2|3,configs/experiments/p01/p01_c06_c1.yaml,results/p01/c06_c1_seed123,not_applicable,planned,2,succeeded,0.6555555555555556,49411,46004224,results/p01/c06_c1_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083133/iter_0/model-epoch=00-val_loss=2.0299.ckpt,
RUN-0042,C06,C1,M4,123,2|3,configs/experiments/p01/p01_c06_c1.yaml,results/p01/c06_c1_seed123,not_applicable,planned,3,succeeded,0.6555555555555556,49411,46004224,results/p01/c06_c1_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083133/iter_0/model-epoch=00-val_loss=2.0299.ckpt,
RUN-0043,C06,C2,M5,123,2|3,configs/experiments/p01/p01_c06_c2.yaml,results/p01/c06_c2_seed123,31042,planned,2,succeeded,0.4444444444444444,47235,45991424,results/p01/c06_c2_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083201/iter_0/model-epoch=00-val_loss=1.9859.ckpt,
RUN-0043,C06,C2,M5,123,2|3,configs/experiments/p01/p01_c06_c2.yaml,results/p01/c06_c2_seed123,31042,planned,3,succeeded,0.4444444444444444,47235,45991424,results/p01/c06_c2_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083201/iter_0/model-epoch=00-val_loss=1.9859.ckpt,
RUN-0044,C06,C3,C3,123,2|3,configs/experiments/p01/p01_c06_c3.yaml,results/p01/c06_c3_seed123,not_applicable,planned,2,succeeded,0.6555555555555556,55555,46336640,results/p01/c06_c3_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083238/iter_0/model-epoch=02-val_loss=1.3021.ckpt,
RUN-0044,C06,C3,C3,123,2|3,configs/experiments/p01/p01_c06_c3.yaml,results/p01/c06_c3_seed123,not_applicable,planned,3,succeeded,0.4444444444444444,55555,46336640,results/p01/c06_c3_seed123/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083238/iter_0/model-epoch=02-val_loss=1.3021.ckpt,
RUN-0045,C06,M1,M1,456,2|3,configs/experiments/p01/p01_c06_m1.yaml,results/p01/c06_m1_seed456,not_applicable,planned,2,succeeded,0.19047619047619047,19587,22823296,results/p01/c06_m1_seed456/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083307/iter_0/model-epoch=00-val_loss=2.0286.ckpt,
RUN-0045,C06,M1,M1,456,2|3,configs/experiments/p01/p01_c06_m1.yaml,results/p01/c06_m1_seed456,not_applicable,planned,3,succeeded,0.19047619047619047,19587,22823296,results/p01/c06_m1_seed456/metadata.xlsx/M_P01Alignment/T_DGclassification_12_083307/iter_0/model-epoch=00-val_loss=2.0286.ckpt,
