file,metadata_id,issue,observation
RM_001_CWRU.h5,156,H5 key has no current metadata row,"(120801, 1, 1)"
RM_001_CWRU.h5,157,H5 key has no current metadata row,"(121351, 1, 1)"
RM_001_CWRU.h5,158,H5 key has no current metadata row,"(121351, 1, 1)"
RM_001_CWRU.h5,159,H5 key has no current metadata row,"(121535, 1, 1)"
RM_001_CWRU.h5,160,H5 key has no current metadata row,"(120801, 1, 1)"
RM_001_CWRU.h5,161,H5 key has no current metadata row,"(121351, 1, 1)"
RM_001_CWRU.h5,162,H5 key has no current metadata row,"(120984, 1, 1)"
RM_001_CWRU.h5,163,H5 key has no current metadata row,"(120984, 1, 1)"
RM_001_CWRU.h5,142,metadata shape mismatch,"metadata=(nan,nan); H5=(120984, 2, 1)"
RM_001_CWRU.h5,143,metadata shape mismatch,"metadata=(nan,nan); H5=(121719, 2, 1)"
RM_001_CWRU.h5,144,metadata shape mismatch,"metadata=(nan,nan); H5=(121168, 2, 1)"
RM_001_CWRU.h5,145,metadata shape mismatch,"metadata=(nan,nan); H5=(121351, 2, 1)"
RM_001_CWRU.h5,151,metadata shape mismatch,"metadata=(nan,nan); H5=(121535, 2, 1)"
RM_003_FEMTO.h5,15277,zero-sized H5 record,"(600, 0, 1)"
RM_003_FEMTO.h5,15277,metadata shape mismatch,"metadata=(2560.0,2.0); H5=(600, 0, 1)"
RM_003_FEMTO.h5,15278,zero-sized H5 record,"(600, 0, 1)"
RM_003_FEMTO.h5,15278,metadata shape mismatch,"metadata=(2560.0,2.0); H5=(600, 0, 1)"
RM_003_FEMTO.h5,15279,zero-sized H5 record,"(600, 0, 1)"
RM_003_FEMTO.h5,15279,metadata shape mismatch,"metadata=(2560.0,2.0); H5=(600, 0, 1)"
RM_003_FEMTO.h5,15280,zero-sized H5 record,"(600, 0, 1)"
RM_003_FEMTO.h5,15280,metadata shape mismatch,"metadata=(2560.0,2.0); H5=(600, 0, 1)"
RM_003_FEMTO.h5,15281,zero-sized H5 record,"(600, 0, 1)"
RM_003_FEMTO.h5,15281,metadata shape mismatch,"metadata=(2560.0,2.0); H5=(600, 0, 1)"
