target,dataset_id,fold,candidate_source_dataset_ids,qualified_source_dataset_ids,same_corpus_dataset_ids_excluded,common_support,increment_support,target_common,target_increment,source_availability,target_device_evidence,episode_seed,support_budget,support_record_count,support_group_count,query_group_count,episode_status,eligible,status,exclusion_reason
RM_001_CWRU,1,LOCO_dataset_1,"[2,3,4,5,6,7,8,9,15,11,12,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,"acquisition transfer function, passband tolerance and transition guards not established",1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,physical bearing groups unresolved; raw/channel sampling provenance unresolved; acquisition support unresolved; unmapped H5 IDs retained in anomaly table; container population not fully reconciled; missing/negative task labels cannot be silently dropped; metadata versus H5 length/channel mismatch; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_002_XJTU,2,LOCO_dataset_2,"[1,3,4,5,6,7,8,9,15,11,12,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,sensor model and DAQ known; actual response/tolerance/guards not established for cached traces,1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,labels include -1 degradation and one fault label per bearing rather than validated fault types; physical unit unresolved; acquisition support unresolved; missing/negative task labels cannot be silently dropped; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_003_FEMTO,3,LOCO_dataset_3,"[1,2,4,5,6,7,8,9,15,11,12,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,no acquisition response/tolerance/guards found in supplied dataset documents,1729,5 original recordings per class,unknown,unknown,unknown,NOT_RUN,False,ineligible,mixed temperature/vibration population; labels include missing/-1 and bearing-index fault codes; physical unit and acquisition support unresolved; missing/negative task labels cannot be silently dropped; metadata versus H5 length/channel mismatch; zero-channel H5 records; sampled native raw/cache equivalence failed; inspect RAW_CACHE_COMPARISON.csv; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode NOT_RUN: invalid/missing/negative fault labels; no records dropped or relabelled
RM_004_IMS,4,LOCO_dataset_4,"[1,2,3,5,6,7,8,9,15,11,12,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,no supplied acquisition response/tolerance/guard evidence,1729,5 original recordings per class,unknown,unknown,unknown,NOT_RUN,False,ineligible,"labels encode run/health stage, not channel-resolved fault type; fault classes confined to one run each; physical unit and acquisition support unresolved; missing/negative task labels cannot be silently dropped; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode NOT_RUN: invalid/missing/negative fault labels; no records dropped or relabelled"
RM_005_Ottawa23,5,LOCO_dataset_5,"[1,2,3,4,6,7,8,9,15,11,12,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,PCB623C01 sensor: 2.4-8000 Hz +/-5%; 482C exact model/filter settings absent; NI USB6212 has no anti-alias filter; end-to-end support unknown,1729,5 original recordings per class,"{""0"":5,""1"":5,""2"":5,""3"":5,""4"":5}","{""0"":5,""1"":4,""2"":4,""3"":4,""4"":4}","{""0"":3,""1"":1,""2"":1,""3"":0,""4"":1}",FAIL,False,failure,conditioner transfer/filter settings and acquisition transition guards unresolved; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fixed draw leaves fewer than two query groups per class; do not redraw
RM_006_THU,6,LOCO_dataset_6,"[1,2,3,4,5,7,8,9,15,11,12,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,effective acquisition passband/tolerance/guards unknown,1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,raw/cache transformation unresolved; physical groups and physical scale unresolved; acquisition support unresolved; original permission not established; sampled native raw/cache equivalence failed; inspect RAW_CACHE_COMPARISON.csv; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_007_MFPT,7,LOCO_dataset_7,"[1,2,3,4,5,6,8,9,15,11,12,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,sensor/conditioner/anti-alias frequency response not established,1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,physical groups and physical unit unresolved; fourth class combines three real-world machines; two metadata sample rates wrong; acquisition support unresolved; metadata versus H5 length/channel mismatch; sampled native raw/cache equivalence failed; inspect RAW_CACHE_COMPARISON.csv; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_008_UNSW,8,LOCO_dataset_8,"[1,2,3,4,5,6,7,9,15,11,12,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,acceleration sensitivity documented; effective acquisition passband/tolerance/guards unresolved,1729,5 original recordings per class,"{""0"":5,""1"":5,""2"":5,""3"":5}","{""0"":1,""1"":1,""2"":1,""3"":1}","{""0"":0,""1"":0,""2"":0,""3"":0}",FAIL,False,failure,labels are test-specific defect/load progression rather than established local fault classes; one original run per label; acquisition support unresolved; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fixed draw leaves fewer than two query groups per class; do not redraw
RM_010_SEU,9,LOCO_dataset_9,"[1,2,3,4,5,6,7,8,11,12,13,14,16,17,18,20,19]",[],[15],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,original CSV header Frequency Limit=2000Hz; filter response/tolerance/guards and calibrated physical units unknown,1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,physical groups and unit unresolved; acquisition support unresolved; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_010_SEU,15,LOCO_dataset_15,"[1,2,3,4,5,6,7,8,11,12,13,14,16,17,18,20,19]",[],[9],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,original CSV header Frequency Limit=2000Hz; filter response/tolerance/guards and calibrated physical units unknown,1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,physical groups and unit unresolved; acquisition support unresolved; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_015_susu,11,LOCO_dataset_11,"[1,2,3,4,5,6,7,8,9,15,12,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,acquisition response/tolerance/guards unknown,1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,specimen IDs and physical scale unresolved; acquisition support unresolved; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_016_JNU,12,LOCO_dataset_12,"[1,2,3,4,5,6,7,8,9,15,11,13,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,acquisition response/tolerance/guards unknown,1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,physical groups and physical scale unresolved; acquisition support unresolved; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_017_Ottawa19,13,LOCO_dataset_13,"[1,2,3,4,5,6,7,8,9,15,11,12,14,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,effective sensor/conditioner/ADC passband and guards not established,1729,5 original recordings per class,unknown,unknown,unknown,NOT_RUN,False,ineligible,physical bearing groups and physical scale unresolved; acquisition support unresolved; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode NOT_RUN: physical group provenance missing; no surrogate group constructed
RM_018_THU24,14,LOCO_dataset_14,"[1,2,3,4,5,6,7,8,9,15,11,12,13,16,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,acquisition response/tolerance/guards unknown,1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,physical groups and physical scale unresolved; acquisition support unresolved; original permission not established; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_020_DIRG,16,LOCO_dataset_16,"[1,2,3,4,5,6,7,8,9,15,11,12,13,14,17,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,"sensor1-12000Hz +/-5%; OR38 manufacturer anti-alias>400dB/oct, bandwidth0.45Fs, ripple+/-0.005dB. Conservative in-band support has evidence; >12kHz is unknown rather than certified unavailable",1729,5 original recordings per class,"{""0"":5,""1"":5,""2"":5}","{""0"":1,""1"":3,""2"":3}","{""0"":0,""1"":0,""2"":0}",FAIL,False,failure,"normal class has only one physical bearing, preventing disjoint source train/validation; unavailable incremental atoms above documented response not established; metadata versus H5 length/channel mismatch; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fixed draw leaves fewer than two query groups per class; do not redraw"
RM_023_HIT23,17,LOCO_dataset_17,"[1,2,3,4,5,6,7,8,9,15,11,12,13,14,16,18,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,acquisition response/tolerance/guards unknown,1729,5 original recordings per class,unknown,unknown,unknown,FAIL,False,failure,physical groups and physical scale unresolved; acquisition support unresolved; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode FAIL: fewer than five original recordings in a declared class; no draw/redraw
RM_024_JUST,18,LOCO_dataset_18,"[1,2,3,4,5,6,7,8,9,15,11,12,13,14,16,17,20,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,acquisition response/tolerance/guards unknown,1729,5 original recordings per class,unknown,unknown,unknown,NOT_RUN,False,ineligible,channel and length contract inconsistent; physical specimen groups unresolved; acquisition support unresolved; metadata versus H5 length/channel mismatch; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode NOT_RUN: physical group provenance missing; no surrogate group constructed
RM_027_PU,20,LOCO_dataset_20,"[1,2,3,4,5,6,7,8,9,15,11,12,13,14,16,17,18,19]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,30 kHz analogue low-pass documented; sensor/conditioner tolerance and transition guards incomplete for binary support,1729,5 original recordings per class,"{""0"":5,""1"":5,""2"":5}","{""0"":3,""1"":5,""2"":4}","{""0"":3,""1"":8,""2"":9}",PASS,False,ineligible,physical scale of cached vibration unresolved; raw time-axis uniformity/rate conflict; complete acquisition response/tolerance/guards unresolved; metadata versus H5 length/channel mismatch; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established
RM_031_HUST24,19,LOCO_dataset_19,"[1,2,3,4,5,6,7,8,9,15,11,12,13,14,16,17,18,20]",[],[],not_constructed: complete source-acquisition qualification unavailable,not_constructed: available/unavailable atoms not established,unknown,unknown,unresolved; no Nyquist-only inference,raw Frequency Limit10000Hz and sensor0.5-10000Hz +/-3dB documented; actual filter transition/unavailable response unknown,1729,5 original recordings per class,unknown,unknown,unknown,NOT_RUN,False,ineligible,independent bearing groups and physical scale unresolved; acquisition support unresolved; fewer than two qualified independent source corpora; source-defined nonempty common/increment sets and target binary support not established; episode NOT_RUN: physical group provenance missing; no surrogate group constructed
