file,dataset_id,metadata_id,original_recording,h5_shape,reader,raw_shape,raw_dtype,values_equal,finite,status,error
RM_001_CWRU.h5,1,1,97.mat,"(243938, 2, 1)",src/data_factory/reader/RM_001_CWRU.py,"(243938, 2)",float64,True,True,PASS,
RM_001_CWRU.h5,1,9,109.mat,"(243938, 2, 1)",src/data_factory/reader/RM_001_CWRU.py,"(243938, 2)",float64,True,True,PASS,
RM_001_CWRU.h5,1,142,305.mat,"(120984, 2, 1)",src/data_factory/reader/RM_001_CWRU.py,"(120984, 2)",float64,True,True,PASS,
RM_001_CWRU.h5,1,143,306.mat,"(121719, 2, 1)",src/data_factory/reader/RM_001_CWRU.py,"(121719, 2)",float64,True,True,PASS,
RM_001_CWRU.h5,1,144,307.mat,"(121168, 2, 1)",src/data_factory/reader/RM_001_CWRU.py,"(121168, 2)",float64,True,True,PASS,
RM_001_CWRU.h5,1,145,308.mat,"(121351, 2, 1)",src/data_factory/reader/RM_001_CWRU.py,"(121351, 2)",float64,True,True,PASS,
RM_001_CWRU.h5,1,151,314.mat,"(121535, 2, 1)",src/data_factory/reader/RM_001_CWRU.py,"(121535, 2)",float64,True,True,PASS,
RM_002_XJTU.h5,2,164,35Hz12kN/Bearing1_1/1.csv,"(32768, 2, 1)",src/data_factory/reader/RM_002_XJTU.py,"(32768, 2)",float64,True,True,PASS,
RM_003_FEMTO.h5,3,9380,Learning_set/Bearing1_1/acc_00001.csv,"(2560, 2, 1)",src/data_factory/reader/RM_003_FEMTO.py,"(2560, 2)",float64,True,True,PASS,
RM_003_FEMTO.h5,3,15277,Learning_set/Bearing3_1/temp_00001.csv,"(600, 0, 1)",src/data_factory/reader/RM_003_FEMTO.py,"(600, 0)",float64,True,True,PASS,
RM_003_FEMTO.h5,3,20806,Test_Set/Bearing1_4/temp_00001.csv,"(600, 1, 1)",src/data_factory/reader/RM_003_FEMTO.py,"(600, 1)",object,False,,FAIL,"TypeError: nonnumeric signal: raw dtype=object, H5 dtype=object"
RM_004_IMS.h5,4,36526,1st_test/2003.10.22.12.06.24,"(20480, 8, 1)",src/data_factory/reader/RM_004_IMS.py,"(20480, 8)",float64,True,True,PASS,
RM_004_IMS.h5,4,38682,2nd_test/2004.02.12.10.32.39,"(20480, 4, 1)",src/data_factory/reader/RM_004_IMS.py,"(20480, 4)",float64,True,True,PASS,
RM_005_Ottawa23.h5,5,45990,1_CSV_Raw_Data_Files (.csv)/1_Healthy/H_1_0.csv,"(420000, 3, 1)",src/data_factory/reader/RM_005_Ottawa23.py,"(420000, 3)",float64,True,True,PASS,
RM_006_THU.h5,6,46231,vibration/health_bearing/1hz_1.mat,"(1228800, 2)",src/data_factory/reader/RM_006_THU.py,"(1236992, 1)",float32,False,True,MISMATCH,
RM_007_MFPT.h5,7,46282,1 - Three Baseline Conditions/baseline_1.mat,"(585936, 1, 1)",src/data_factory/reader/RM_007_MFPT.py,,,False,,FAIL,"KeyError: ""MFPT file /home/user/data/PHMbenchdata/PHM-Vibench/raw/RM_007_MFPT/1 - Three Baseline Conditions/baseline_1.mat is missing required critical frequency 'BPFO'."""
RM_007_MFPT.h5,7,46288,3 - Seven More Outer Race Fault Conditions/OuterRaceFault_vload_1.mat,"(146484, 1, 1)",src/data_factory/reader/RM_007_MFPT.py,,,False,,FAIL,"KeyError: ""MFPT file /home/user/data/PHMbenchdata/PHM-Vibench/raw/RM_007_MFPT/3 - Seven More Outer Race Fault Conditions/OuterRaceFault_vload_1.mat is missing required critical frequency 'BPFO'."""
RM_008_UNSW.h5,8,46305,Test 1/6Hz/vib_000002663_06.mat,"(614400, 6, 1)",src/data_factory/reader/RM_008_UNSW.py,"(614400, 6)",float64,True,True,PASS,
RM_010_SEU.h5,9,46933,gearbox/bearingset/ball_20_0.csv,"(1048560, 8, 1)",src/data_factory/reader/RM_010_SEU.py,"(1048560, 8)",float64,True,True,PASS,
RM_010_SEU.h5,15,46943,gearbox/gearset/Chipped_20_0.csv,"(1048560, 8, 1)",src/data_factory/reader/RM_010_SEU.py,"(1048560, 8)",float64,True,True,PASS,
RM_015_susu.h5,11,46985,Data_18Hz/Ball_1_inch_18Hz.mat,"(600001, 3, 1)",src/data_factory/reader/RM_015_susu.py,"(600001, 3)",float64,True,True,PASS,
RM_016_JNU.h5,12,46995,ib600_2.csv,"(500500, 1, 1)",src/data_factory/reader/RM_016_JNU.py,"(500500, 1)",float64,True,True,PASS,
RM_017_Ottawa19.h5,13,47007,H-A-1.mat,"(2000000, 2, 1)",src/data_factory/reader/RM_017_Ottawa19.py,"(2000000, 2)",float64,True,True,PASS,
RM_018_THU24.h5,14,47044,ball/15hz_ball10_400s_1.csv,"(1249999, 2, 1)",src/data_factory/reader/RM_018_THU24.py,"(1249999, 2)",float64,True,True,PASS,
RM_020_DIRG.h5,16,47064,C0A_100_000_1.mat,"(512000, 6, 1)",src/data_factory/reader/RM_020_DIRG.py,"(512000, 6)",float64,True,True,PASS,
RM_020_DIRG.h5,16,47179,E4A101.mat,"(819200, 6, 1)",src/data_factory/reader/RM_020_DIRG.py,"(819200, 6)",float64,True,True,PASS,
RM_023_HIT23.h5,17,47246,Self-built dataset/IR2_600.mat,"(262144, 1, 1)",src/data_factory/reader/RM_023_HIT23.py,"(262144, 1)",float64,True,True,PASS,
RM_024_JUST.h5,18,47288,C1/20221208-B1-2rpm-0N-1.csv,"(3104475, 7, 1)",src/data_factory/reader/RM_024_JUST.py,"(3104475, 7)",float64,True,True,PASS,
RM_027_PU.h5,20,47567,K001/N09_M07_F10_K001_1.mat,"(256823, 3, 1)",src/data_factory/reader/RM_027_PU.py,"(256823, 3)",float64,True,True,PASS,
RM_031_HUST24.h5,19,47408,Raw data/0.5X_B_20Hz.xls,"(262144, 3, 1)",src/data_factory/reader/RM_031_HUST24.py,"(262144, 3)",float64,True,True,PASS,
