file,dataset,dataset_id,metadata_id,recording_id,original_recording,raw_exists,h5_exists,h5_shape,h5_dtype,label,duplicate_original_path,shared_resolved_raw_path,shared_raw_inode,group,metadata_rate,metadata_channel,metadata_length,observed_length,observed_channels
RM_001_CWRU.h5,RM_001_CWRU,1,1,1,97.mat,True,True,"(243938, 2, 1)",float64,0.0,False,False,False,,12000.0,2.0,243938.0,243938,2
RM_001_CWRU.h5,RM_001_CWRU,1,2,2,98.mat,True,True,"(483903, 2, 1)",float64,0.0,False,False,False,,12000.0,2.0,483903.0,483903,2
RM_001_CWRU.h5,RM_001_CWRU,1,3,3,99.mat,True,True,"(485063, 2, 1)",float64,0.0,False,False,False,,12000.0,2.0,485063.0,485063,2
RM_001_CWRU.h5,RM_001_CWRU,1,4,4,100.mat,True,True,"(485643, 2, 1)",float64,0.0,False,False,False,,12000.0,2.0,485643.0,485643,2
RM_001_CWRU.h5,RM_001_CWRU,1,5,5,105.mat,True,True,"(121265, 2, 1)",float64,1.0,False,False,False,,12000.0,2.0,121265.0,121265,2
RM_001_CWRU.h5,RM_001_CWRU,1,6,6,106.mat,True,True,"(121991, 2, 1)",float64,1.0,False,False,False,,12000.0,2.0,121991.0,121991,2
RM_001_CWRU.h5,RM_001_CWRU,1,7,7,107.mat,True,True,"(122136, 2, 1)",float64,1.0,False,False,False,,12000.0,2.0,122136.0,122136,2
RM_001_CWRU.h5,RM_001_CWRU,1,8,8,108.mat,True,True,"(122917, 2, 1)",float64,1.0,False,False,False,,12000.0,2.0,122917.0,122917,2
RM_001_CWRU.h5,RM_001_CWRU,1,9,9,109.mat,True,True,"(243938, 2, 1)",float64,1.0,False,False,False,,48000.0,2.0,243938.0,243938,2
RM_001_CWRU.h5,RM_001_CWRU,1,10,10,110.mat,True,True,"(486224, 2, 1)",float64,1.0,False,False,False,,48000.0,2.0,486224.0,486224,2
RM_001_CWRU.h5,RM_001_CWRU,1,11,11,111.mat,True,True,"(485643, 2, 1)",float64,1.0,False,False,False,,48000.0,2.0,485643.0,485643,2
RM_001_CWRU.h5,RM_001_CWRU,1,12,12,112.mat,True,True,"(485643, 2, 1)",float64,1.0,False,False,False,,48000.0,2.0,485643.0,485643,2
RM_001_CWRU.h5,RM_001_CWRU,1,13,13,118.mat,True,True,"(122571, 2, 1)",float64,2.0,False,False,False,,12000.0,2.0,122571.0,122571,2
RM_001_CWRU.h5,RM_001_CWRU,1,14,14,119.mat,True,True,"(121410, 2, 1)",float64,2.0,False,False,False,,12000.0,2.0,121410.0,121410,2
RM_001_CWRU.h5,RM_001_CWRU,1,15,15,120.mat,True,True,"(121556, 2, 1)",float64,2.0,False,False,False,,12000.0,2.0,121556.0,121556,2
RM_001_CWRU.h5,RM_001_CWRU,1,16,16,121.mat,True,True,"(121556, 2, 1)",float64,2.0,False,False,False,,12000.0,2.0,121556.0,121556,2
