Id,dataset_id,recording_id,group,role,native_rate_hz,effective_rate_hz,channel,input_unit,unit_scale,common_support,increment_support,support_basis,support_evidence
0,1,0,0,source_train,64,64,0,m/s^2,1.0,fully_usable,fully_usable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
1,1,1,1,source_train,64,64,0,m/s^2,1.0,fully_usable,fully_usable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
2,1,2,2,source_train,64,64,0,m/s^2,1.0,fully_usable,fully_usable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
3,1,3,3,source_train,64,64,0,m/s^2,1.0,fully_usable,fully_usable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
4,1,4,4,source_val,64,64,0,m/s^2,1.0,fully_usable,fully_usable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
5,1,5,5,source_val,64,64,0,m/s^2,1.0,fully_usable,fully_usable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
6,1,6,6,source_val,64,64,0,m/s^2,1.0,fully_usable,fully_usable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
7,1,7,7,source_val,64,64,0,m/s^2,1.0,fully_usable,fully_usable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
8,2,0,0,source_train,16,16,0,m/s^2,1.0,fully_usable,unavailable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
9,2,1,1,source_train,16,16,0,m/s^2,1.0,fully_usable,unavailable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
10,2,2,2,source_train,16,16,0,m/s^2,1.0,fully_usable,unavailable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
11,2,3,3,source_train,16,16,0,m/s^2,1.0,fully_usable,unavailable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
12,2,4,4,source_val,16,16,0,m/s^2,1.0,fully_usable,unavailable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
13,2,5,5,source_val,16,16,0,m/s^2,1.0,fully_usable,unavailable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
14,2,6,6,source_val,16,16,0,m/s^2,1.0,fully_usable,unavailable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
15,2,7,7,source_val,16,16,0,m/s^2,1.0,fully_usable,unavailable,tensor_fixture,"Analytic sine fixture, not hardware qualification"
