dataset,recording_id,group,role,file_id,channel,window_start,window_end
1,0,0,source_train,0,0,0,64
1,0,0,source_train,0,0,64,128
1,1,1,source_train,1,0,0,64
1,1,1,source_train,1,0,64,128
1,2,2,source_train,2,0,0,64
1,2,2,source_train,2,0,64,128
1,3,3,source_train,3,0,0,64
1,3,3,source_train,3,0,64,128
1,4,4,source_val,4,0,0,64
1,4,4,source_val,4,0,64,128
1,5,5,source_val,5,0,0,64
1,5,5,source_val,5,0,64,128
1,6,6,source_val,6,0,0,64
1,6,6,source_val,6,0,64,128
1,7,7,source_val,7,0,0,64
1,7,7,source_val,7,0,64,128
2,0,0,source_train,8,0,0,16
2,0,0,source_train,8,0,16,32
2,1,1,source_train,9,0,0,16
2,1,1,source_train,9,0,16,32
2,2,2,source_train,10,0,0,16
2,2,2,source_train,10,0,16,32
2,3,3,source_train,11,0,0,16
2,3,3,source_train,11,0,16,32
2,4,4,source_val,12,0,0,16
2,4,4,source_val,12,0,16,32
2,5,5,source_val,13,0,0,16
2,5,5,source_val,13,0,16,32
2,6,6,source_val,14,0,0,16
2,6,6,source_val,14,0,16,32
2,7,7,source_val,15,0,0,16
2,7,7,source_val,15,0,16,32
