seed,dataset,zero_shot_accuracy,above_80_percent
42,CWRU,0.831,True
42,XJTU,0.801,True
42,THU,0.863,True
42,Ottawa,0.819,True
42,JNU,0.778,False
123,CWRU,0.827,True
123,XJTU,0.795,False
123,THU,0.847,True
123,Ottawa,0.823,True
123,JNU,0.792,False
456,CWRU,0.819,True
456,XJTU,0.789,False
456,THU,0.855,True
456,Ottawa,0.807,True
456,JNU,0.781,False
789,CWRU,0.834,True
789,XJTU,0.804,True
789,THU,0.851,True
789,Ottawa,0.816,True
789,JNU,0.787,False
999,CWRU,0.820,True
999,XJTU,0.793,False
999,THU,0.849,True
999,Ottawa,0.811,True
999,JNU,0.785,False
