dataset,method,seed,status,completed_stages,stage_ledger_path,latest_partial_path,latest_metric_path,latest_metric_line,latest_epoch,latest_step,reason
RM_001_CWRU,cfm_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/cfm_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/cfm_grid/seed_0/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_10_191114/iter_0/logs/version_0/metrics.csv,"49,11249,1.3252711296081543,,1.3252711296081543,,,",49,11249,all stages complete
RM_001_CWRU,cfm_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/cfm_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/cfm_grid/seed_1/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_10_191623/iter_0/logs/version_0/metrics.csv,"49,11249,1.3305507898330688,,1.3305507898330688,,,",49,11249,all stages complete
RM_001_CWRU,rectified_flow_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/rectified_flow_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/rectified_flow_grid/seed_0/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_10_192032/iter_0/logs/version_0/metrics.csv,"31,7199,1.6930936574935913,,1.6930936574935913,,,",31,7199,all stages complete
RM_001_CWRU,rectified_flow_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/rectified_flow_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/rectified_flow_grid/seed_1/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_10_192318/iter_0/logs/version_0/metrics.csv,"49,11249,1.6580438613891602,,1.6580438613891602,,,",49,11249,all stages complete
RM_001_CWRU,ddpm_train_distribution,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/ddpm_train_distribution/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/ddpm_train_distribution/seed_0/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_10_192729/iter_0/logs/version_0/metrics.csv,"10,2474,0.3114858865737915,,0.3114858865737915,,,",10,2474,all stages complete
RM_001_CWRU,ddpm_train_distribution,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/ddpm_train_distribution/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_001_CWRU/ddpm_train_distribution/seed_1/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_10_192831/iter_0/logs/version_0/metrics.csv,"16,3824,0.359213262796402,,0.359213262796402,,,",16,3824,all stages complete
RM_002_XJTU,cfm_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/cfm_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/cfm_grid/seed_0/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_10_200929/iter_0/logs/version_0/metrics.csv,"23,301415,1.3849462270736694,,1.3849462270736694,,,",23,301415,all stages complete
RM_002_XJTU,cfm_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/cfm_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/cfm_grid/seed_1/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_10_222124/iter_0/logs/version_0/metrics.csv,"46,590272,1.380211353302002,,1.380211353302002,,,",46,590272,all stages complete
RM_002_XJTU,rectified_flow_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/rectified_flow_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/rectified_flow_grid/seed_0/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_11_011944/iter_0/logs/version_0/metrics.csv,"21,276297,1.4803754091262817,,1.4803754091262817,,,",21,276297,all stages complete
RM_002_XJTU,rectified_flow_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/rectified_flow_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/rectified_flow_grid/seed_1/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_11_025547/iter_0/logs/version_0/metrics.csv,"31,401887,1.4732670783996582,,1.4732670783996582,,,",31,401887,all stages complete
RM_002_XJTU,ddpm_train_distribution,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/ddpm_train_distribution/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/ddpm_train_distribution/seed_0/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_11_051137/iter_0/logs/version_0/metrics.csv,"24,313974,0.25413671135902405,,0.25413671135902405,,,",24,313974,all stages complete
RM_002_XJTU,ddpm_train_distribution,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/ddpm_train_distribution/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_002_XJTU/ddpm_train_distribution/seed_1/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_11_063727/iter_0/logs/version_0/metrics.csv,"16,213502,0.25730428099632263,,0.25730428099632263,,,",16,213502,all stages complete
RM_003_FEMTO,cfm_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/cfm_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/cfm_grid/seed_0/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_11_073558/iter_0/logs/version_0/metrics.csv,"25,646645,1.3940271139144897,,1.3940271139144897,,,",25,646645,all stages complete
RM_003_FEMTO,cfm_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/cfm_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/cfm_grid/seed_1/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_11_105233/iter_0/logs/version_0/metrics.csv,"30,771000,1.395774483680725,,1.395774483680725,,,",30,771000,all stages complete
