component_type,component_id,module_path,key_args,args,notes,test_status
embedding,E_01_HSE,src/model_factory/ISFM/embedding/E_01_HSE.py,"patch_size_L, patch_size_C, num_patches, output_dim","patch_size_L=256, patch_size_C=1, num_patches=128, output_dim=1024（示例）","hierarchical signal embedding (HSE) for time-domain patches","/"
embedding,E_01_HSE_abalation,src/model_factory/ISFM/embedding/E_01_HSE.py,"sampling_mode, apply_mixing, linear_config, patch_scale, activation_type","sampling_mode='random', apply_mixing=True, linear_config=(1,1), patch_scale=(1,1,1)","ablation version of HSE with configurable mixing and depth","/"
embedding,E_01_HTFE,src/model_factory/ISFM/embedding/E_01_HTFE.py,"/","/","HTFE-style time-frequency embedding","/"
embedding,E_02_HSE_v2,src/model_factory/ISFM/embedding/E_02_HSE_rec.py,"patch_size_L, patch_size_C, num_patches, output_dim, system-aware args","类似 E_01_HSE，并额外依赖 system_id 与 sample_rate","HSE v2 with reconstruction and system-aware behaviour","/"
embedding,E_03_Patch,src/model_factory/ISFM/embedding/E_03_Patch.py,"patch_size_L, patch_size_C, num_patches, output_dim","patch_size_L=256, patch_size_C=1, num_patches=128, output_dim=1024（示例）","basic patch-based embedding baseline","/"
embedding,E_com_00_PE,src/model_factory/ISFM/embedding/E_com_00_PE.py,"feature_dim or d_model","feature_dim=1024（示例）","common positional/temporal embedding utility","/"
backbone,B_01_basic_transformer,src/model_factory/ISFM/backbone/B_01_basic_transformer.py,"d_model, n_heads, num_layers, d_ff, dropout","d_model=256, n_heads=8, num_layers=4, d_ff=512, dropout=0.1（示例）","basic transformer encoder backbone","/"
backbone,B_02_basic_other,src/model_factory/ISFM/backbone/B_02_basic_other.py,"/","/","generic backbone utility (internal/experimental)","/"
backbone,B_03_FITS,src/model_factory/ISFM/backbone/B_03_FITS.py,"/","/","FITS-style forecasting backbone","/"
backbone,B_04_Dlinear,src/model_factory/ISFM/backbone/B_04_Dlinear.py,"num_patches (L), output_dim (C), individual","num_patches=128, output_dim=1024, individual=False（示例）","DLinear-style linear backbone over patches","/"
backbone,B_05_Mamba,src/model_factory/ISFM/backbone/B_05_Mamba.py,"/","/","Mamba-based sequence backbone","/"
backbone,B_06_TimesNet,src/model_factory/ISFM/backbone/B_06_TimesNet.py,"/","/","TimesNet backbone for periodic patterns","/"
backbone,B_07_TSMixer,src/model_factory/ISFM/backbone/B_07_TSMixer.py,"/","/","time-series mixer backbone","/"
backbone,B_08_PatchTST,src/model_factory/ISFM/backbone/B_08_PatchTST.py,"/","/","PatchTST-style transformer backbone","/"
backbone,B_09_FNO,src/model_factory/ISFM/backbone/B_09_FNO.py,"/","/","Fourier Neural Operator backbone","/"
backbone,B_10_VIBT,src/model_factory/ISFM/backbone/B_10_VIBT.py,"/","/","vibration-transformer backbone (VIBT)","/"
backbone,B_11_MomentumEncoder,src/model_factory/ISFM/backbone/B_11_MomentumEncoder.py,"/","/","momentum encoder backbone for contrastive tasks","/"
task_head,H_01_Linear_cla,src/model_factory/ISFM/task_head/H_01_Linear_cla.py,"num_classes (dict[system_id -> n_class]), output_dim","num_classes={0:10}, output_dim=1024（示例）","multi-system linear classification head","/"
task_head,H_02_distance_cla,src/model_factory/ISFM/task_head/H_02_distance_cla.py,"num_classes, output_dim","/","distance-based classification head","/"
task_head,H_02_Linear_cla_heterogeneous_batch,src/model_factory/ISFM/task_head/H_02_Linear_cla_heterogeneous_batch.py,"num_classes, output_dim","/","heterogeneous-batch linear classification head","/"
task_head,H_03_Linear_pred,src/model_factory/ISFM/task_head/H_03_Linear_pred.py,"output_dim, shape-related args","/","linear prediction/regression head","/"
task_head,H_04_VIB_pred,src/model_factory/ISFM/task_head/H_04_VIB_pred.py,"output_dim, vibration-specific args","/","vibration-specific prediction head","/"
task_head,H_09_multiple_task,src/model_factory/ISFM/task_head/H_09_multiple_task.py,"num_classes, pred_output_dim, task weights","num_classes={0:10}, pred_output_dim=1（示例）","multi-task head (e.g. classification + prediction)","/"
task_head,H_10_ProjectionHead,src/model_factory/ISFM/task_head/H_10_ProjectionHead.py,"proj_dim, hidden_dim, num_layers","/","projection head for contrastive/representation learning","/"
task_head,MultiTaskHead,src/model_factory/ISFM/task_head/multi_task_head.py,"per-task head configs","/","composite multi-task head wrapper","/"
