id,task.type,task.name,path,args,dataset_path,dataset_args,batch_format,notes,test_status
1,Default_task,Default_task,Default_task.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/Default_dataset.py,"(data, metadata, args_data, args_task, mode)","Default windows: {'x','y'}","Baseline single-task Lightning wrapper",
2,Default_task,ID_task,task/ID/ID_task.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/ID/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","ID-based windows: {'x','y','file_id',...}","ID_dataset / ID_task pipeline with flexible windowing",
3,DG,classification,task/DG/classification.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/DG/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","{'x','y','file_id',...}","Single-dataset domain generalization classification",
4,CDDG,classification,task/CDDG/classification.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/CDDG/classification_dataset.py,"(data, metadata, args_data, args_task, mode)","{'x','y','file_id','domain_id',...}","Cross-dataset (CDDG) classification",
5,pretrain,classification,task/pretrain/classification.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/Pretrain/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","{'x','y','file_id',...}","Supervised classification pretraining on ID datasets",
6,pretrain,hse_contrastive,task/pretrain/hse_contrastive.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/Pretrain/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","{'x','y','file_id','domain_id',...}","HSE prompt-guided contrastive pretraining",
7,pretrain,masked_reconstruction,task/pretrain/masked_reconstruction.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/Pretrain/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","{'x','mask','file_id',...}","Masked reconstruction pretraining (unsupervised)",
8,pretrain,prediction,task/pretrain/prediction.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/Pretrain/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","{'x','y','file_id',...}","Sequence prediction pretraining",
9,pretrain,classification_prediction,task/pretrain/classification_prediction.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/Pretrain/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","{'x','y','file_id',...}","Joint classification + prediction pretraining",
10,FS,prototypical_network,task/FS/prototypical_network.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/FS/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","per-sample few-shot view; sampler builds episodes","Few-shot classification with Prototypical Networks",
11,FS,matching_network,task/FS/matching_network.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/FS/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","per-sample few-shot view; sampler builds episodes","Few-shot classification with Matching Networks",
12,FS,knn_feature,task/FS/knn_feature.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/FS/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","per-sample feature view for kNN","Few-shot feature-based kNN evaluation",
13,FS,finetuning,task/FS/finetuning.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/FS/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","standard supervised few-shot finetuning batches","Few-shot fine-tuning style adaptation",
14,GFS,classification,task/GFS/classification.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/GFS/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","{'x','y','base/novel flags',...}","Generalized few-shot classification (base + novel classes)",
15,GFS,matching,task/GFS/matching.py,"(network, args_data, args_model, args_task, args_trainer, args_environment, metadata)",dataset_task/GFS/Classification_dataset.py,"(data, metadata, args_data, args_task, mode)","GFS-style episodes / batches","Generalized few-shot matching-style task",
